network_id,structure,n_controls,total_Q,depth,mode,rho,seed,task,index_time_s,mdp_time_s,mdp_status,mdp_states,ell,probs
0,"Ser(Ser(Par(v0,v1),v2),Ser(Ser(v3,Ser(v4,Par(v5,Par(v6,v7)))),Ser(Par(v8,Par(v9,v10)),Ser(v11,v12))))",13,46,6,random,0.9,0,both,0.006828,10.811759,ok,215774,"{""v0"": 0.009902, ""v1"": 0.129506, ""v2"": 0.205395, ""v3"": 0.031387, ""v4"": 0.038352, ""v5"": 0.025484, ""v6"": 0.009506, ""v7"": 0.014571, ""v8"": 0.201887, ""v9"": 0.003963, ""v10"": 0.15837, ""v11"": 0.093873, ""v12"": 0.077804}","{""v0"": [0.7961, 0.6933, 0.4887, 0.2375], ""v1"": [0.8921, 0.5696, 0.5174, 0.3545, 0.3026, 0.2847, 0.2299], ""v2"": [0.8196, 0.3664, 0.2933, 0.2163], ""v3"": [0.8264, 0.4792, 0.3391], ""v4"": [0.6989, 0.6414, 0.4082], ""v5"": [0.2556], ""v6"": [0.795, 0.6166, 0.5098], ""v7"": [0.5267, 0.25], ""v8"": [0.5157, 0.2765, 0.2024], ""v9"": [0.8462, 0.835, 0.6729, 0.4383, 0.3283], ""v10"": [0.767, 0.6837, 0.6039, 0.3055], ""v11"": [0.6985, 0.6783], ""v12"": [0.7633, 0.7418, 0.6885, 0.64, 0.5097]}"
1,"Ser(Par(v0,Par(v1,Ser(v2,v3))),Ser(Par(v4,Par(Ser(v5,v6),Ser(v7,v8))),Par(v9,Par(Par(v10,v11),Ser(v12,v13)))))",14,45,5,random,0.9,0,both,0.005921,-1,statecap,,"{""v0"": 0.012135, ""v1"": 0.073178, ""v2"": 0.063612, ""v3"": 0.078233, ""v4"": 0.018334, ""v5"": 0.026168, ""v6"": 0.183972, ""v7"": 0.059316, ""v8"": 0.18927, ""v9"": 0.062869, ""v10"": 0.005446, ""v11"": 0.02203, ""v12"": 0.177733, ""v13"": 0.027704}","{""v0"": [0.3155], ""v1"": [0.5605, 0.4426, 0.3039], ""v2"": [0.5542, 0.2539], ""v3"": [0.6283, 0.5201, 0.3863, 0.2578, 0.2325], ""v4"": [0.8707, 0.8551, 0.751, 0.593], ""v5"": [0.7616, 0.6268], ""v6"": [0.6581, 0.6492, 0.6427, 0.4703], ""v7"": [0.866, 0.6098], ""v8"": [0.8414, 0.7864, 0.7148, 0.4861], ""v9"": [0.8876, 0.7747, 0.5369, 0.4697], ""v10"": [0.899, 0.7398, 0.2017], ""v11"": [0.8516, 0.6464, 0.6022, 0.3199, 0.2714], ""v12"": [0.2815], ""v13"": [0.8555, 0.7785, 0.6718, 0.579, 0.2056]}"
2,"Ser(Par(Par(Par(v0,v1),v2),Ser(v3,Ser(v4,v5))),Par(Ser(v6,v7),Ser(Par(v8,Ser(v9,v10)),Par(v11,v12))))",13,31,5,random,0.9,0,both,0.003538,32.692343,ok,405517,"{""v0"": 0.01349, ""v1"": 0.227809, ""v2"": 0.023086, ""v3"": 0.011367, ""v4"": 0.263629, ""v5"": 0.030326, ""v6"": 0.00153, ""v7"": 0.071644, ""v8"": 0.118406, ""v9"": 0.07289, ""v10"": 0.022754, ""v11"": 0.087031, ""v12"": 0.056038}","{""v0"": [0.8384, 0.4598, 0.4149, 0.3756], ""v1"": [0.3855, 0.2167], ""v2"": [0.7647, 0.3989, 0.2958], ""v3"": [0.6145, 0.3609], ""v4"": [0.6909, 0.3433], ""v5"": [0.8361, 0.6798, 0.6274], ""v6"": [0.8664, 0.6098, 0.2876], ""v7"": [0.7128, 0.3004], ""v8"": [0.8501, 0.2397, 0.2355], ""v9"": [0.3245], ""v10"": [0.7084], ""v11"": [0.892, 0.4483], ""v12"": [0.8311, 0.4505, 0.4202]}"
3,"Par(Ser(v0,Par(Par(v1,v2),Par(v3,v4))),Par(Par(v5,v6),Ser(Par(v7,Par(v8,v9)),Par(v10,v11))))",12,43,5,random,0.9,0,both,0.001858,-1,statecap,,"{""v0"": 0.003537, ""v1"": 0.305064, ""v2"": 0.018101, ""v3"": 0.064122, ""v4"": 0.051569, ""v5"": 0.008934, ""v6"": 0.058038, ""v7"": 0.231892, ""v8"": 0.014822, ""v9"": 0.155529, ""v10"": 0.000446, ""v11"": 0.087946}","{""v0"": [0.2468], ""v1"": [0.774, 0.5687, 0.3317], ""v2"": [0.681, 0.4003, 0.4003, 0.2194], ""v3"": [0.674, 0.4533], ""v4"": [0.7588, 0.534, 0.3568], ""v5"": [0.5959, 0.555, 0.5468, 0.3068, 0.2819, 0.2702, 0.2573], ""v6"": [0.8058, 0.6925, 0.6554, 0.4759, 0.4333, 0.358, 0.2537], ""v7"": [0.7756, 0.5369], ""v8"": [0.767, 0.3606, 0.2546], ""v9"": [0.6, 0.3164, 0.2951], ""v10"": [0.7876, 0.6806, 0.5523, 0.296], ""v11"": [0.7541, 0.5711, 0.4527, 0.2464]}"
4,"Par(Par(Par(Ser(v0,Par(Par(v1,v2),Ser(v3,v4))),v5),Ser(v6,Ser(v7,v8))),Ser(Par(Par(v9,v10),v11),Ser(v12,v13)))",14,47,6,random,0.9,0,both,0.003010,640.474454,ok,3998871,"{""v0"": 0.124667, ""v1"": 0.106434, ""v2"": 0.042866, ""v3"": 0.007593, ""v4"": 0.013781, ""v5"": 0.153871, ""v6"": 0.026326, ""v7"": 0.016704, ""v8"": 0.063477, ""v9"": 0.169387, ""v10"": 0.080191, ""v11"": 0.092955, ""v12"": 0.034487, ""v13"": 0.067261}","{""v0"": [0.5314, 0.2464], ""v1"": [0.6199, 0.5316], ""v2"": [0.3989, 0.3031], ""v3"": [0.8484, 0.8417, 0.3205, 0.2783], ""v4"": [0.8273, 0.8273, 0.7869, 0.6783], ""v5"": [0.8713, 0.8329, 0.667, 0.5444, 0.5126], ""v6"": [0.8672, 0.722, 0.6766], ""v7"": [0.8203, 0.7347, 0.6494, 0.5322], ""v8"": [0.857, 0.4297, 0.391, 0.3539, 0.3104, 0.2751], ""v9"": [0.8924, 0.7741, 0.4813], ""v10"": [0.7813, 0.7404, 0.7196], ""v11"": [0.8141, 0.6771, 0.4708], ""v12"": [0.7679, 0.5965, 0.4374], ""v13"": [0.6673, 0.3551, 0.2048]}"
5,"Ser(Ser(Par(Par(v0,Par(v1,Par(v2,v3))),Par(Ser(v4,v5),Ser(v6,Ser(v7,v8)))),v9),Ser(Par(v10,Ser(v11,v12)),Ser(v13,v14)))",15,39,6,random,0.9,0,both,0.004393,94.798450,ok,1665914,"{""v0"": 0.217248, ""v1"": 0.125307, ""v2"": 0.039258, ""v3"": 0.03489, ""v4"": 0.155324, ""v5"": 0.018746, ""v6"": 0.008193, ""v7"": 0.086872, ""v8"": 0.01763, ""v9"": 0.017193, ""v10"": 0.096936, ""v11"": 0.070463, ""v12"": 0.010075, ""v13"": 0.025187, ""v14"": 0.076678}","{""v0"": [0.7838, 0.764, 0.6612], ""v1"": [0.8258, 0.6729, 0.6003, 0.402], ""v2"": [0.6297], ""v3"": [0.8304, 0.8087, 0.614], ""v4"": [0.5933, 0.5469, 0.2919], ""v5"": [0.5335, 0.5273, 0.349], ""v6"": [0.7794, 0.7404, 0.49], ""v7"": [0.8559, 0.7903], ""v8"": [0.2457], ""v9"": [0.4254], ""v10"": [0.7185, 0.4682], ""v11"": [0.3856, 0.201], ""v12"": [0.8247, 0.7935, 0.4357], ""v13"": [0.7475, 0.7296, 0.6901, 0.2427], ""v14"": [0.8438, 0.7453, 0.3873, 0.2249]}"
6,"Ser(Ser(Par(v0,v1),Par(Par(Par(v2,v3),Ser(v4,Ser(v5,v6))),v7)),Par(Par(v8,Ser(Par(Ser(v9,v10),v11),v12)),v13))",14,46,6,random,0.9,0,both,0.006400,-1,statecap,,"{""v0"": 0.083393, ""v1"": 0.061444, ""v2"": 0.028261, ""v3"": 0.063506, ""v4"": 0.185787, ""v5"": 0.212288, ""v6"": 0.080279, ""v7"": 0.04256, ""v8"": 0.121536, ""v9"": 0.094986, ""v10"": 0.001908, ""v11"": 0.006682, ""v12"": 0.002398, ""v13"": 0.014972}","{""v0"": [0.3558], ""v1"": [0.6856, 0.6332, 0.5425, 0.3321, 0.3032], ""v2"": [0.6019, 0.2063], ""v3"": [0.6422, 0.4965, 0.2246], ""v4"": [0.8794, 0.7789, 0.707, 0.6031, 0.2376], ""v5"": [0.8591, 0.2669], ""v6"": [0.7062, 0.2997, 0.2378], ""v7"": [0.6668, 0.4529, 0.4182], ""v8"": [0.7072, 0.604, 0.4738], ""v9"": [0.8793, 0.398], ""v10"": [0.7897, 0.6615, 0.4688, 0.4505], ""v11"": [0.8856, 0.6463, 0.5954, 0.4228], ""v12"": [0.6968, 0.6922, 0.4947, 0.4173, 0.2749, 0.2208], ""v13"": [0.8278, 0.5763, 0.3307]}"
7,"Ser(Par(Par(v0,v1),Par(v2,v3)),Ser(v4,Par(Ser(Par(v5,v6),Par(Ser(Ser(v7,v8),v9),v10)),v11)))",12,31,7,random,0.9,0,both,0.003716,10.811784,ok,105987,"{""v0"": 0.151322, ""v1"": 0.001357, ""v2"": 0.164282, ""v3"": 0.019065, ""v4"": 0.182996, ""v5"": 0.12598, ""v6"": 0.05323, ""v7"": 0.067389, ""v8"": 0.085253, ""v9"": 0.038784, ""v10"": 0.009211, ""v11"": 0.101131}","{""v0"": [0.8255, 0.8114, 0.6165, 0.2507], ""v1"": [0.828], ""v2"": [0.6476, 0.4172, 0.3186], ""v3"": [0.3538], ""v4"": [0.5843, 0.5321, 0.5281, 0.3654, 0.3172], ""v5"": [0.8791, 0.4919], ""v6"": [0.3201, 0.2898], ""v7"": [0.6081, 0.526, 0.343], ""v8"": [0.8825, 0.2716], ""v9"": [0.8472, 0.6631], ""v10"": [0.7575, 0.439, 0.346, 0.2555], ""v11"": [0.7108, 0.5708]}"
8,"Ser(Par(v0,Ser(Ser(Par(v1,v2),v3),v4)),Par(Par(Ser(Par(v5,v6),v7),Ser(Ser(Par(v8,v9),v10),v11)),Par(v12,v13)))",14,49,6,random,0.9,0,both,0.005844,-1,statecap,,"{""v0"": 0.148903, ""v1"": 0.122903, ""v2"": 0.004614, ""v3"": 0.067444, ""v4"": 0.178851, ""v5"": 0.041252, ""v6"": 0.107263, ""v7"": 0.083212, ""v8"": 0.020387, ""v9"": 0.009771, ""v10"": 0.016504, ""v11"": 0.063873, ""v12"": 0.12299, ""v13"": 0.012033}","{""v0"": [0.4047], ""v1"": [0.8983, 0.8195, 0.8014], ""v2"": [0.6466, 0.5382, 0.4957, 0.2631], ""v3"": [0.7978, 0.5199, 0.3128], ""v4"": [0.7922, 0.7871, 0.4308], ""v5"": [0.8845, 0.7424, 0.6795, 0.2908], ""v6"": [0.8273, 0.5189], ""v7"": [0.6134, 0.4755, 0.2381], ""v8"": [0.831, 0.6635, 0.5904, 0.5396, 0.3748], ""v9"": [0.8196, 0.7617, 0.4373, 0.2355], ""v10"": [0.8523, 0.7663, 0.6926, 0.6076, 0.3917], ""v11"": [0.4623, 0.3556, 0.329], ""v12"": [0.8583, 0.7992, 0.6899, 0.5785, 0.5734], ""v13"": [0.66, 0.3053, 0.2822, 0.2689]}"
9,"Ser(Ser(Par(Ser(Ser(v0,v1),v2),v3),v4),Par(Ser(v5,v6),Par(v7,Par(v8,v9))))",10,23,5,random,0.9,0,both,0.002674,0.068253,ok,1263,"{""v0"": 0.278708, ""v1"": 0.104914, ""v2"": 0.083455, ""v3"": 0.104198, ""v4"": 0.188232, ""v5"": 0.018305, ""v6"": 0.020344, ""v7"": 0.106098, ""v8"": 0.09049, ""v9"": 0.005256}","{""v0"": [0.8946, 0.7875, 0.7104, 0.6043], ""v1"": [0.4752, 0.3103], ""v2"": [0.8903, 0.6973, 0.6158, 0.4407, 0.2822], ""v3"": [0.7802, 0.6282], ""v4"": [0.6818, 0.2652], ""v5"": [0.7936, 0.264], ""v6"": [0.529, 0.2623], ""v7"": [0.6354], ""v8"": [0.7058], ""v9"": [0.8805, 0.8445]}"
10,"Par(Par(v0,v1),Par(Par(v2,Par(Ser(Ser(Par(Par(v3,v4),v5),Par(v6,v7)),Ser(v8,v9)),v10)),v11))",12,38,8,random,0.9,0,both,0.002190,471.706337,ok,3425964,"{""v0"": 0.031455, ""v1"": 0.003915, ""v2"": 0.099017, ""v3"": 0.098622, ""v4"": 0.024664, ""v5"": 0.352024, ""v6"": 0.114734, ""v7"": 0.021641, ""v8"": 0.071887, ""v9"": 0.028451, ""v10"": 0.142138, ""v11"": 0.011452}","{""v0"": [0.7099, 0.3166], ""v1"": [0.8709, 0.7834, 0.7762, 0.6778, 0.4931], ""v2"": [0.8835], ""v3"": [0.8996, 0.6089, 0.4343], ""v4"": [0.4973, 0.4537, 0.251, 0.217], ""v5"": [0.8563, 0.5678, 0.4857, 0.44], ""v6"": [0.8217, 0.7696, 0.7338, 0.6249, 0.5569], ""v7"": [0.7813, 0.4899], ""v8"": [0.625, 0.5352, 0.4608, 0.3778], ""v9"": [0.8298, 0.6037], ""v10"": [0.886, 0.7836, 0.3245], ""v11"": [0.8853, 0.3743, 0.3376]}"
11,"Par(Ser(Ser(Ser(v0,v1),Par(v2,v3)),Par(Par(v4,Par(v5,v6)),v7)),Ser(v8,Par(v9,v10)))",11,36,5,random,0.9,0,both,0.002816,3.295717,ok,11332,"{""v0"": 0.075735, ""v1"": 0.168358, ""v2"": 0.012256, ""v3"": 0.006838, ""v4"": 0.058989, ""v5"": 0.261115, ""v6"": 0.143374, ""v7"": 0.015322, ""v8"": 0.086795, ""v9"": 0.084158, ""v10"": 0.08706}","{""v0"": [0.7921, 0.664, 0.4511, 0.4389, 0.3262], ""v1"": [0.6647, 0.439, 0.2111], ""v2"": [0.8878, 0.8748, 0.7224, 0.5444], ""v3"": [0.8736, 0.6886, 0.4525, 0.4128, 0.3698], ""v4"": [0.3819], ""v5"": [0.8186, 0.6976], ""v6"": [0.7946, 0.4337, 0.2842], ""v7"": [0.4264], ""v8"": [0.8984, 0.8907, 0.8645, 0.8268, 0.7315, 0.6297, 0.5566], ""v9"": [0.607, 0.4723], ""v10"": [0.7966, 0.6461, 0.2196]}"
12,"Ser(v0,Ser(Par(Par(v1,Ser(Ser(v2,v3),v4)),Par(Ser(v5,v6),v7)),Ser(Par(Ser(Ser(v8,v9),v10),v11),Ser(v12,v13))))",14,45,6,random,0.9,0,both,0.007901,7.734028,ok,141989,"{""v0"": 0.115855, ""v1"": 0.175556, ""v2"": 0.051173, ""v3"": 0.024521, ""v4"": 0.042796, ""v5"": 0.091468, ""v6"": 0.004171, ""v7"": 0.016112, ""v8"": 0.031155, ""v9"": 0.070609, ""v10"": 0.283426, ""v11"": 0.029684, ""v12"": 0.02569, ""v13"": 0.037784}","{""v0"": [0.6775, 0.5804, 0.4207, 0.3746, 0.2149], ""v1"": [0.8151, 0.6532], ""v2"": [0.4035], ""v3"": [0.599, 0.4342, 0.4246], ""v4"": [0.74, 0.7081, 0.5568, 0.421], ""v5"": [0.3757, 0.2963], ""v6"": [0.8098, 0.7197, 0.4491, 0.2098], ""v7"": [0.7071, 0.4382], ""v8"": [0.7195], ""v9"": [0.8181, 0.725, 0.5715, 0.5588, 0.5328], ""v10"": [0.8502, 0.566, 0.4637, 0.4078], ""v11"": [0.7101, 0.6233, 0.5782], ""v12"": [0.6693, 0.641, 0.6339, 0.6245, 0.5877, 0.5274, 0.2888], ""v13"": [0.7181, 0.6948]}"
13,"Par(Par(v0,Par(v1,Ser(Par(Par(Ser(v2,v3),v4),Par(v5,v6)),v7))),Ser(v8,Par(Ser(v9,v10),v11)))",12,35,7,random,0.9,0,both,0.001325,167.027743,ok,1332810,"{""v0"": 0.001843, ""v1"": 0.049665, ""v2"": 0.123229, ""v3"": 0.109019, ""v4"": 0.029226, ""v5"": 0.009633, ""v6"": 0.19322, ""v7"": 0.063348, ""v8"": 0.106485, ""v9"": 0.173033, ""v10"": 0.019314, ""v11"": 0.121985}","{""v0"": [0.8453, 0.8293, 0.764, 0.2687], ""v1"": [0.595, 0.4527, 0.2926, 0.2788], ""v2"": [0.7381, 0.7168, 0.6727], ""v3"": [0.8297, 0.7677, 0.4411], ""v4"": [0.511, 0.2819, 0.213], ""v5"": [0.666, 0.4769, 0.4421, 0.404], ""v6"": [0.8491, 0.7424, 0.5631], ""v7"": [0.5162, 0.2623], ""v8"": [0.4595, 0.4363], ""v9"": [0.8944, 0.5604, 0.4183], ""v10"": [0.447, 0.4049], ""v11"": [0.8552, 0.2753]}"
14,"Ser(Par(v0,Ser(Ser(Par(v1,v2),v3),Ser(v4,v5))),Ser(Ser(Par(Par(Par(v6,v7),Par(v8,v9)),v10),Ser(v11,v12)),v13))",14,34,6,random,0.9,0,both,0.003984,32.006257,ok,576703,"{""v0"": 0.183205, ""v1"": 0.077272, ""v2"": 0.019514, ""v3"": 0.087918, ""v4"": 0.068051, ""v5"": 0.115458, ""v6"": 0.092701, ""v7"": 0.06412, ""v8"": 0.024393, ""v9"": 0.012109, ""v10"": 0.007476, ""v11"": 0.078287, ""v12"": 0.164333, ""v13"": 0.005163}","{""v0"": [0.4495, 0.2797], ""v1"": [0.7518, 0.6626, 0.3119, 0.2478], ""v2"": [0.3061, 0.2549], ""v3"": [0.5961, 0.2122], ""v4"": [0.3055], ""v5"": [0.4144, 0.3099], ""v6"": [0.879, 0.2974], ""v7"": [0.482, 0.4581, 0.4124], ""v8"": [0.8584, 0.8025, 0.7478, 0.4437], ""v9"": [0.3906], ""v10"": [0.8431, 0.772], ""v11"": [0.7627, 0.7437, 0.4948], ""v12"": [0.8397, 0.3917], ""v13"": [0.8426, 0.6868, 0.6299, 0.4376]}"
15,"Ser(v0,Ser(Par(v1,v2),Ser(Ser(v3,Par(Par(Par(v4,v5),Ser(v6,v7)),Par(v8,v9))),Par(Ser(v10,v11),Par(v12,v13)))))",14,45,7,random,0.9,0,both,0.006161,329.293097,ok,3663174,"{""v0"": 0.025079, ""v1"": 0.133831, ""v2"": 0.024122, ""v3"": 0.061343, ""v4"": 0.149315, ""v5"": 0.050817, ""v6"": 0.030055, ""v7"": 0.076171, ""v8"": 0.106202, ""v9"": 0.005461, ""v10"": 0.181519, ""v11"": 0.083048, ""v12"": 0.070049, ""v13"": 0.002988}","{""v0"": [0.7288, 0.4357], ""v1"": [0.7934, 0.411, 0.2483], ""v2"": [0.636, 0.4879, 0.4633, 0.4076], ""v3"": [0.8219, 0.8193, 0.5079], ""v4"": [0.7934, 0.7487, 0.6832, 0.6359, 0.3067], ""v5"": [0.6521, 0.6335, 0.5214, 0.4411, 0.315], ""v6"": [0.8621, 0.5252, 0.3879], ""v7"": [0.6219, 0.5571, 0.3996], ""v8"": [0.8644, 0.5705], ""v9"": [0.6327, 0.5268, 0.5185, 0.206], ""v10"": [0.8718, 0.8236, 0.7363], ""v11"": [0.8403, 0.6708, 0.364], ""v12"": [0.4006, 0.2418], ""v13"": [0.7603, 0.5556, 0.4956]}"
16,"Ser(Par(Par(Ser(v0,v1),Par(v2,v3)),Ser(v4,v5)),Par(v6,Ser(Ser(v7,v8),v9)))",10,27,4,random,0.9,0,both,0.002576,3.371451,ok,22778,"{""v0"": 0.042033, ""v1"": 0.204604, ""v2"": 0.000855, ""v3"": 0.122872, ""v4"": 0.001332, ""v5"": 0.16455, ""v6"": 0.035626, ""v7"": 0.000302, ""v8"": 0.14755, ""v9"": 0.280276}","{""v0"": [0.5829, 0.2736, 0.2144, 0.2049], ""v1"": [0.8395, 0.806], ""v2"": [0.891, 0.7099, 0.5779, 0.5526, 0.5285, 0.4126], ""v3"": [0.2868], ""v4"": [0.2169], ""v5"": [0.7569, 0.4282], ""v6"": [0.6489, 0.4498, 0.317], ""v7"": [0.3619, 0.2813], ""v8"": [0.7965, 0.7289, 0.2518], ""v9"": [0.7782, 0.6265, 0.3306]}"
