network_id,n_controls,total_Q,method,converged,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
17,12,37,1,True,14221,24.999254,0.00099905,14221,24.999254,0.00485183,0.00000000,0.00485183,0.001,,"{""v0"": 0.000445, ""v1"": 0.00012, ""v2"": 0.000166, ""v3"": 0.000121, ""v4"": 0.518108, ""v5"": 0.000433, ""v6"": 7e-06, ""v7"": 7e-06, ""v8"": 6e-06, ""v9"": 0.001574, ""v10"": 0.289982, ""v11"": 0.189031}","{""v0"": [0.004822, 0.00478], ""v1"": [0.004843, 0.004841], ""v2"": [0.004841, 0.00484, 0.00484, 0.004839, 0.004838, 0.004838, 0.004837, 0.004837, 0.004837, 0.004831], ""v3"": [0.004843, 0.004842, 0.004841, 0.004824], ""v4"": [0.00485, 0.001737], ""v5"": [0.004857, 0.004828, 0.00481], ""v6"": [0.004889, 0.004889], ""v7"": [0.004889, 0.004889], ""v8"": [0.004889, 0.004889, 0.004888], ""v9"": [0.00479, 0.004739, 0.004596], ""v10"": [0.00489, 0.002894], ""v11"": [0.131709, 0.060924]}"
17,12,37,2,True,15929,100.545943,0.00099981,15929,100.545943,0.00485287,0.00000104,0.00485183,0.001,100,"{""v0"": 7.3e-05, ""v1"": 7.7e-05, ""v2"": 0.00012, ""v3"": 0.000619, ""v4"": 0.518059, ""v5"": 0.000504, ""v6"": 6e-06, ""v7"": 5e-06, ""v8"": 6e-06, ""v9"": 0.00161, ""v10"": 0.29119, ""v11"": 0.18773}","{""v0"": [0.004848, 0.004841], ""v1"": [0.004848, 0.004847], ""v2"": [0.004846, 0.004845, 0.004845, 0.004844, 0.004844, 0.004843, 0.004843, 0.004843, 0.004843, 0.004839], ""v3"": [0.004814, 0.004809, 0.004805, 0.004721], ""v4"": [0.004853, 0.001737], ""v5"": [0.004856, 0.004822, 0.004801], ""v6"": [0.004893, 0.004893], ""v7"": [0.004893, 0.004893], ""v8"": [0.004893, 0.004893, 0.004892], ""v9"": [0.004792, 0.004739, 0.004594], ""v10"": [0.004894, 0.002896], ""v11"": [0.133474, 0.061808]}"
18,10,20,1,False,,,0.00107171,500000,613.247062,0.19089813,0.00000000,0.19089813,0.001,,"{""v0"": 0.142156, ""v1"": 0.140625, ""v2"": 0.000468, ""v3"": 4e-06, ""v4"": 1e-06, ""v5"": 0.11722, ""v6"": 0.152589, ""v7"": 0.15057, ""v8"": 0.148084, ""v9"": 0.148284}","{""v0"": [0.190795, 0.093541], ""v1"": [0.190028], ""v2"": [0.992698, 0.989846], ""v3"": [0.999805], ""v4"": [0.99998, 0.999971, 0.999965], ""v5"": [0.190891, 0.146365], ""v6"": [0.190898, 0.190371], ""v7"": [0.190879], ""v8"": [0.19086, 0.17875, 0.174077, 0.071053, 0.068454], ""v9"": [0.190865]}"
18,10,20,2,False,,,0.00100526,500000,1150.613343,0.19076294,-0.00013519,0.19089813,0.001,100,"{""v0"": 0.142207, ""v1"": 0.140692, ""v2"": 1.3e-05, ""v3"": 9e-06, ""v4"": 1e-06, ""v5"": 0.117293, ""v6"": 0.152658, ""v7"": 0.150632, ""v8"": 0.148147, ""v9"": 0.148349}","{""v0"": [0.190692, 0.093485], ""v1"": [0.190674], ""v2"": [0.999792, 0.99971], ""v3"": [0.999624], ""v4"": [0.99998, 0.99997, 0.999964], ""v5"": [0.190728, 0.146233], ""v6"": [0.190763, 0.190236], ""v7"": [0.190754], ""v8"": [0.190735, 0.178631, 0.173961, 0.070999, 0.068402], ""v9"": [0.190736]}"
19,10,32,1,True,701,0.725037,0.00099940,701,0.725037,0.00009078,0.00000000,0.00009078,0.001,,"{""v0"": 0.130162, ""v1"": 0.054907, ""v2"": 0.052444, ""v3"": 0.100458, ""v4"": 0.116182, ""v5"": 0.00352, ""v6"": 0.00816, ""v7"": 0.009144, ""v8"": 0.023467, ""v9"": 0.501555}","{""v0"": [9.1e-05, 8.2e-05, 8.1e-05, 6.5e-05, 5e-05], ""v1"": [9.1e-05, 8.6e-05, 6.9e-05, 6e-05, 5.4e-05, 4e-05], ""v2"": [0.000183, 0.000168, 0.000108], ""v3"": [0.000365], ""v4"": [0.000349, 0.000317, 0.000298, 0.000179], ""v5"": [0.001417, 0.001401], ""v6"": [0.001483, 0.001403, 0.001385], ""v7"": [0.00141, 0.001179, 0.001151, 0.001149], ""v8"": [0.001169, 0.001055, 0.000928], ""v9"": [0.001634]}"
19,10,32,2,True,1080,5.760540,0.00099928,1080,5.760540,0.00009021,-0.00000057,0.00009078,0.001,100,"{""v0"": 0.119143, ""v1"": 0.040516, ""v2"": 0.057203, ""v3"": 0.106222, ""v4"": 0.122486, ""v5"": 0.004002, ""v6"": 0.012547, ""v7"": 0.01348, ""v8"": 0.023344, ""v9"": 0.501058}","{""v0"": [9e-05, 8.2e-05, 8.1e-05, 6.5e-05, 5e-05], ""v1"": [9e-05, 8.7e-05, 7.2e-05, 6.4e-05, 5.8e-05, 4.5e-05], ""v2"": [0.000153, 0.00014, 8.8e-05], ""v3"": [0.000323], ""v4"": [0.000309, 0.00028, 0.000263, 0.000157], ""v5"": [0.001344, 0.001327], ""v6"": [0.001416, 0.001304, 0.001281], ""v7"": [0.001325, 0.001039, 0.001006, 0.001003], ""v8"": [0.001176, 0.001063, 0.000935], ""v9"": [0.001642]}"
20,10,24,1,True,171474,183.477756,0.00099995,171474,183.477756,0.05695253,0.00000000,0.05695253,0.001,,"{""v0"": 0.166993, ""v1"": 0.088018, ""v2"": 0.059619, ""v3"": 0.011799, ""v4"": 1e-06, ""v5"": 0.057507, ""v6"": 4.7e-05, ""v7"": 0.15212, ""v8"": 0.200707, ""v9"": 0.263189}","{""v0"": [0.056693, 0.04254], ""v1"": [0.383816, 0.351987, 0.227402], ""v2"": [0.056769, 0.04088], ""v3"": [0.056276, 0.037553], ""v4"": [0.120667], ""v5"": [0.056742, 0.055661, 0.047253, 0.044412], ""v6"": [0.12061, 0.120525], ""v7"": [0.120655, 0.106178], ""v8"": [0.120674, 0.082851, 0.078588], ""v9"": [0.056956, 0.04065, 0.036004]}"
20,10,24,2,True,171921,592.813332,0.00099997,171921,592.813332,0.05696293,0.00001040,0.05695253,0.001,100,"{""v0"": 0.166836, ""v1"": 0.088187, ""v2"": 0.059751, ""v3"": 0.011877, ""v4"": 1e-06, ""v5"": 0.057645, ""v6"": 5.4e-05, ""v7"": 0.151961, ""v8"": 0.200517, ""v9"": 0.263171}","{""v0"": [0.056686, 0.042538], ""v1"": [0.383132, 0.351327, 0.226894], ""v2"": [0.05679, 0.04088], ""v3"": [0.056174, 0.037444], ""v4"": [0.120904], ""v5"": [0.056752, 0.055669, 0.04725, 0.044406], ""v6"": [0.120833, 0.120734], ""v7"": [0.120871, 0.106371], ""v8"": [0.120908, 0.083019, 0.078747], ""v9"": [0.056966, 0.040657, 0.036011]}"
21,11,25,1,True,58534,61.649017,0.00099969,58534,61.649017,0.03880488,0.00000000,0.03880488,0.001,,"{""v0"": 0.094069, ""v1"": 6e-06, ""v2"": 0.016618, ""v3"": 2e-06, ""v4"": 2e-06, ""v5"": 0.302025, ""v6"": 0.000737, ""v7"": 2.3e-05, ""v8"": 2.6e-05, ""v9"": 0.278905, ""v10"": 0.307588}","{""v0"": [0.038387], ""v1"": [0.465432, 0.465338], ""v2"": [0.465543, 0.454239], ""v3"": [0.999917], ""v4"": [0.999974, 0.999963], ""v5"": [0.038702, 0.037327, 0.037097, 0.03626, 0.030804, 0.017478], ""v6"": [0.991336, 0.98791, 0.977205], ""v7"": [0.999335, 0.998665], ""v8"": [0.999669, 0.999469], ""v9"": [0.038805], ""v10"": [0.03879, 0.038414, 0.035561]}"
21,11,25,2,True,58912,162.074311,0.00100000,58912,162.074311,0.03883920,0.00003432,0.03880488,0.001,100,"{""v0"": 0.094511, ""v1"": 4e-06, ""v2"": 0.01672, ""v3"": 2e-06, ""v4"": 3e-06, ""v5"": 0.301867, ""v6"": 5.1e-05, ""v7"": 0.000496, ""v8"": 2.6e-05, ""v9"": 0.278819, ""v10"": 0.307503}","{""v0"": [0.038076], ""v1"": [0.463806, 0.463748], ""v2"": [0.463875, 0.452577], ""v3"": [0.999903], ""v4"": [0.999961, 0.999945], ""v5"": [0.038823, 0.037444, 0.037213, 0.036373, 0.030901, 0.017533], ""v6"": [0.999403, 0.999164, 0.998408], ""v7"": [0.993004, 0.97895], ""v8"": [0.99967, 0.999471], ""v9"": [0.03884], ""v10"": [0.038823, 0.038447, 0.035591]}"
22,13,42,1,True,1128,1.430581,0.00099984,1128,1.430581,0.00008791,0.00000000,0.00008791,0.001,,"{""v0"": 0.000151, ""v1"": 0.010069, ""v2"": 6.8e-05, ""v3"": 6.8e-05, ""v4"": 6.8e-05, ""v5"": 6.8e-05, ""v6"": 6.8e-05, ""v7"": 6.8e-05, ""v8"": 6.8e-05, ""v9"": 0.054601, ""v10"": 0.02095, ""v11"": 0.104433, ""v12"": 0.809319}","{""v0"": [8.8e-05, 8.8e-05], ""v1"": [7.9e-05, 7.7e-05, 7.5e-05], ""v2"": [8.8e-05, 8.8e-05, 8.8e-05, 8.8e-05, 8.8e-05], ""v3"": [8.8e-05, 8.8e-05], ""v4"": [8.8e-05, 8.8e-05, 8.8e-05], ""v5"": [8.8e-05], ""v6"": [8.8e-05, 8.8e-05, 8.8e-05, 8.8e-05, 8.8e-05], ""v7"": [8.8e-05], ""v8"": [8.8e-05, 8.8e-05, 8.8e-05, 8.8e-05, 8.8e-05], ""v9"": [8.7e-05, 7.5e-05, 7.2e-05], ""v10"": [0.000206, 0.000191, 0.000188, 0.000187], ""v11"": [8.8e-05, 6.8e-05, 6.3e-05, 4.7e-05, 3.9e-05], ""v12"": [0.000273, 0.000248, 8.7e-05]}"
22,13,42,2,True,1119,8.514450,0.00099970,1119,8.514450,0.00008721,-0.00000070,0.00008791,0.001,100,"{""v0"": 6.9e-05, ""v1"": 0.010067, ""v2"": 7.2e-05, ""v3"": 0.000111, ""v4"": 0.000307, ""v5"": 6.9e-05, ""v6"": 6.9e-05, ""v7"": 6.9e-05, ""v8"": 6.9e-05, ""v9"": 0.05823, ""v10"": 0.016166, ""v11"": 0.102949, ""v12"": 0.811755}","{""v0"": [8.7e-05, 8.7e-05], ""v1"": [7.8e-05, 7.6e-05, 7.4e-05], ""v2"": [8.7e-05, 8.7e-05, 8.7e-05, 8.7e-05, 8.7e-05], ""v3"": [8.7e-05, 8.7e-05], ""v4"": [8.7e-05, 8.7e-05, 8.6e-05], ""v5"": [8.7e-05], ""v6"": [8.7e-05, 8.7e-05, 8.7e-05, 8.7e-05, 8.7e-05], ""v7"": [8.7e-05], ""v8"": [8.7e-05, 8.7e-05, 8.7e-05, 8.7e-05, 8.7e-05], ""v9"": [8.6e-05, 7.4e-05, 7.1e-05], ""v10"": [0.000214, 0.000202, 0.000198, 0.000198], ""v11"": [8.8e-05, 6.7e-05, 6.3e-05, 4.7e-05, 3.9e-05], ""v12"": [0.000266, 0.000242, 8.5e-05]}"
23,14,37,1,True,16,0.018594,0.00095073,16,0.018594,0.00003074,0.00000000,0.00003074,0.001,,"{""v0"": 0.031215, ""v1"": 0.083581, ""v2"": 0.067343, ""v3"": 0.066955, ""v4"": 0.2064, ""v5"": 0.188915, ""v6"": 0.073446, ""v7"": 0.016323, ""v8"": 0.034325, ""v9"": 0.201207, ""v10"": 0.007597, ""v11"": 0.004779, ""v12"": 0.01345, ""v13"": 0.004464}","{""v0"": [3.5e-05], ""v1"": [5.9e-05, 4.2e-05, 3.1e-05], ""v2"": [2.4e-05, 1.7e-05, 1.4e-05], ""v3"": [8.1e-05, 6.5e-05, 6.1e-05], ""v4"": [0.000237, 0.000169], ""v5"": [0.003542, 0.001466], ""v6"": [0.027491, 0.021243, 0.016242, 0.015284], ""v7"": [0.033107, 0.031895, 0.031412], ""v8"": [0.042269, 0.032183], ""v9"": [0.072801, 0.04414], ""v10"": [0.891674], ""v11"": [0.939407, 0.904572, 0.885937], ""v12"": [0.849808, 0.843591, 0.828887, 0.820121, 0.819059, 0.744494], ""v13"": [0.940216, 0.920815]}"
23,14,37,2,True,14,0.127743,0.00093086,14,0.127743,0.00004437,0.00001364,0.00003074,0.001,100,"{""v0"": 0.040512, ""v1"": 0.082111, ""v2"": 0.077595, ""v3"": 0.056308, ""v4"": 0.196757, ""v5"": 0.174007, ""v6"": 0.087971, ""v7"": 0.00709, ""v8"": 0.026742, ""v9"": 0.199103, ""v10"": 0.005102, ""v11"": 0.005102, ""v12"": 0.028302, ""v13"": 0.013299}","{""v0"": [4.8e-05], ""v1"": [9.4e-05, 6.7e-05, 4.9e-05], ""v2"": [3.8e-05, 2.6e-05, 2.1e-05], ""v3"": [0.000146, 0.000119, 0.000112], ""v4"": [0.00037, 0.000264], ""v5"": [0.005018, 0.002103], ""v6"": [0.023491, 0.017756, 0.013343, 0.012515], ""v7"": [0.042606, 0.0418, 0.041433], ""v8"": [0.047765, 0.037777], ""v9"": [0.073724, 0.044733], ""v10"": [0.92544], ""v11"": [0.935476, 0.898625, 0.878985], ""v12"": [0.71348, 0.703589, 0.680704, 0.667394, 0.665797, 0.56186], ""v13"": [0.83465, 0.788691]}"
24,11,36,1,True,52,0.060379,0.00099552,52,0.060379,0.00004474,0.00000000,0.00004474,0.001,,"{""v0"": 0.080321, ""v1"": 0.001748, ""v2"": 0.001748, ""v3"": 0.005729, ""v4"": 0.400096, ""v5"": 0.431946, ""v6"": 0.023474, ""v7"": 0.025229, ""v8"": 0.012264, ""v9"": 0.001748, ""v10"": 0.015697}","{""v0"": [1.6e-05, 1.6e-05, 1.6e-05, 1.5e-05, 1.3e-05, 1.3e-05, 9e-06], ""v1"": [4.5e-05], ""v2"": [4.5e-05, 4.5e-05], ""v3"": [4.3e-05, 4.3e-05, 4.2e-05, 4.2e-05, 4.1e-05, 3.9e-05], ""v4"": [4.6e-05], ""v5"": [0.007008, 0.006341, 0.006041, 0.005018, 0.003782], ""v6"": [0.685316, 0.580671], ""v7"": [0.679216, 0.664032, 0.645778, 0.630678], ""v8"": [0.871166, 0.851131, 0.845233, 0.706045], ""v9"": [0.952236], ""v10"": [0.833775, 0.784987, 0.70238]}"
24,11,36,2,True,53,0.213789,0.00098534,53,0.213789,0.00004805,0.00000331,0.00004474,0.001,100,"{""v0"": 0.001715, ""v1"": 0.001715, ""v2"": 0.098864, ""v3"": 0.005435, ""v4"": 0.403286, ""v5"": 0.433642, ""v6"": 0.020825, ""v7"": 0.019948, ""v8"": 0.005517, ""v9"": 0.006161, ""v10"": 0.002891}","{""v0"": [4.9e-05, 4.9e-05, 4.8e-05, 4.8e-05, 4.8e-05, 4.8e-05, 4.7e-05], ""v1"": [4.9e-05], ""v2"": [1.5e-05, 1.2e-05], ""v3"": [4.7e-05, 4.7e-05, 4.5e-05, 4.5e-05, 4.4e-05, 4.3e-05], ""v4"": [5e-05], ""v5"": [0.007757, 0.007019, 0.006687, 0.005554, 0.004186], ""v6"": [0.757406, 0.651514], ""v7"": [0.771912, 0.757784, 0.740643, 0.726334], ""v8"": [0.939601, 0.929345, 0.926277, 0.846762], ""v9"": [0.846924], ""v10"": [0.966737, 0.954861, 0.931853]}"
25,31,129,1,True,37987,215.703304,0.00099991,37987,215.703304,0.01763778,0.00000000,0.01763778,0.001,,"{""v0"": 0.292613, ""v1"": 0.000559, ""v2"": 1e-06, ""v3"": 2.5e-05, ""v4"": 1e-06, ""v5"": 1e-06, ""v6"": 1e-06, ""v7"": 1e-06, ""v8"": 1e-06, ""v9"": 1e-06, ""v10"": 1e-06, ""v11"": 1e-06, ""v12"": 3.2e-05, ""v13"": 1e-06, ""v14"": 1e-06, ""v15"": 1e-06, ""v16"": 1e-06, ""v17"": 0.13647, ""v18"": 0.075137, ""v19"": 0.028759, ""v20"": 0.00031, ""v21"": 1e-06, ""v22"": 1e-06, ""v23"": 1e-06, ""v24"": 1e-06, ""v25"": 1e-06, ""v26"": 1e-06, ""v27"": 1e-06, ""v28"": 0.089062, ""v29"": 0.002364, ""v30"": 0.374651}","{""v0"": [0.017643, 0.015164], ""v1"": [0.993007, 0.992462, 0.989629, 0.98325], ""v2"": [0.999983, 0.99996, 0.999957, 0.999948, 0.999943], ""v3"": [0.017233, 0.017231, 0.017229, 0.017228], ""v4"": [0.017238, 0.017238], ""v5"": [0.017238, 0.017238, 0.017238], ""v6"": [0.017238, 0.017238, 0.017238, 0.017238, 0.017238], ""v7"": [0.017239, 0.017239, 0.017238, 0.017238, 0.017238], ""v8"": [0.017239, 0.017239, 0.017239, 0.017238, 0.017238], ""v9"": [0.017238, 0.017238, 0.017238, 0.017238, 0.017238, 0.017238], ""v10"": [0.017238, 0.017238, 0.017238, 0.017238], ""v11"": [0.017239, 0.017239, 0.017238, 0.017238, 0.017238], ""v12"": [0.017232, 0.01723, 0.017229, 0.017226, 0.017222], ""v13"": [0.017239, 0.017239, 0.017239, 0.017238, 0.017238, 0.017238], ""v14"": [0.017239, 0.017239, 0.017238, 0.017238, 0.017238, 0.017238], ""v15"": [0.017238, 0.017238, 0.017238, 0.017238], ""v16"": [0.017239, 0.017239, 0.017238, 0.017238], ""v17"": [0.017239, 0.016777, 0.013755, 0.009751, 0.009459], ""v18"": [0.095763, 0.079684, 0.062373, 0.039879], ""v19"": [0.234415, 0.225438, 0.221719, 0.194825], ""v20"": [0.324445, 0.324361, 0.324194, 0.324061], ""v21"": [0.325712, 0.325712, 0.325708, 0.325702], ""v22"": [0.325686, 0.325686], ""v23"": [0.325698, 0.325698, 0.325695, 0.325695, 0.325692], ""v24"": [0.325702, 0.325701, 0.325691], ""v25"": [0.325703, 0.3257], ""v26"": [0.325702, 0.325693, 0.325692], ""v27"": [0.325709, 0.325707, 0.325706], ""v28"": [0.325716, 0.311686, 0.289286, 0.277345, 0.236675, 0.199337, 0.192634, 0.111928], ""v29"": [0.972888, 0.90188, 0.900451], ""v30"": [0.017513, 0.010667, 0.008771, 0.006496]}"
25,31,129,2,True,48436,1291.233534,0.00099976,48436,1291.233534,0.01755288,-0.00008490,0.01763778,0.001,100,"{""v0"": 0.292972, ""v1"": 0.000129, ""v2"": 0.00063, ""v3"": 1e-06, ""v4"": 1e-06, ""v5"": 1e-06, ""v6"": 4.4e-05, ""v7"": 1e-06, ""v8"": 6.2e-05, ""v9"": 8.9e-05, ""v10"": 1e-06, ""v11"": 1e-06, ""v12"": 1e-06, ""v13"": 1e-06, ""v14"": 1e-06, ""v15"": 1e-06, ""v16"": 1e-06, ""v17"": 0.137437, ""v18"": 0.074633, ""v19"": 0.028321, ""v20"": 1e-06, ""v21"": 9e-06, ""v22"": 0.000248, ""v23"": 1e-05, ""v24"": 1e-06, ""v25"": 1e-06, ""v26"": 3.7e-05, ""v27"": 3.1e-05, ""v28"": 0.088561, ""v29"": 0.002163, ""v30"": 0.374616}","{""v0"": [0.017554, 0.015088], ""v1"": [0.998382, 0.998255, 0.997594, 0.996095], ""v2"": [0.99176, 0.980154, 0.978978, 0.974681, 0.972306], ""v3"": [0.017366, 0.017366, 0.017366, 0.017366], ""v4"": [0.017366, 0.017366], ""v5"": [0.017366, 0.017366, 0.017366], ""v6"": [0.017357, 0.017354, 0.01735, 0.017349, 0.017334], ""v7"": [0.017366, 0.017366, 0.017366, 0.017366, 0.017366], ""v8"": [0.017352, 0.017352, 0.017352, 0.017345, 0.017341], ""v9"": [0.017346, 0.017333, 0.017332, 0.017331, 0.017326, 0.017317], ""v10"": [0.017366, 0.017366, 0.017366, 0.017366], ""v11"": [0.017366, 0.017366, 0.017366, 0.017366, 0.017366], ""v12"": [0.017366, 0.017366, 0.017366, 0.017366, 0.017366], ""v13"": [0.017366, 0.017366, 0.017366, 0.017366, 0.017366, 0.017366], ""v14"": [0.017366, 0.017366, 0.017366, 0.017366, 0.017366, 0.017366], ""v15"": [0.017366, 0.017366, 0.017366, 0.017366], ""v16"": [0.017366, 0.017366, 0.017366, 0.017366], ""v17"": [0.017366, 0.0169, 0.01385, 0.009813, 0.009518], ""v18"": [0.097523, 0.081201, 0.063604, 0.040701], ""v19"": [0.237429, 0.228446, 0.224722, 0.197747], ""v20"": [0.32833, 0.32833, 0.328329, 0.328329], ""v21"": [0.328297, 0.328295, 0.328255, 0.328198], ""v22"": [0.324571, 0.324504], ""v23"": [0.328012, 0.32801, 0.327975, 0.327973, 0.327942], ""v24"": [0.328095, 0.328095, 0.328082], ""v25"": [0.328094, 0.328088], ""v26"": [0.327774, 0.327413, 0.327359], ""v27"": [0.328104, 0.328008, 0.327977], ""v28"": [0.328333, 0.314226, 0.291697, 0.279685, 0.238752, 0.201148, 0.194395, 0.113027], ""v29"": [0.975166, 0.90957, 0.908242], ""v30"": [0.01752, 0.010671, 0.008774, 0.006498]}"
