source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch
b1r10,30,44,100,45.507999,70.573919,10777,41018
b1r10,31,35,150,731.820883,846.192140,94833,146754
b1r10,32,43,102,1700.446358,869.090826,346000,500000
b1r10,33,37,122,1699.012137,912.933266,254040,414650
b1r10,34,32,117,1708.708073,924.959498,287120,394024
b1r10,35,42,133,6.869607,9.768473,1160,4952
b1r10,36,31,113,91.861025,177.673159,21372,33178
b1r10,37,41,116,102.021772,70.812731,21260,37684
b1r10,38,42,126,5.790164,15.301591,1220,4208
b1r10,39,13,42,0.094645,0.466585,62,457
b1r10,40,14,45,115.527564,143.664097,56562,98795
b1r10,41,12,30,6.013343,21.247726,5530,22740
b1r10,42,14,36,10.220383,17.212096,7695,20984
b1r10,43,15,45,68.819398,93.392109,39171,68989
b1r1,0,13,46,0.926566,13.493989,873,11132
b1r1,1,14,45,175.157625,123.337562,132500,153000
b1r1,2,13,31,121.248385,120.883167,120000,154500
b1r1,3,12,43,201.712433,71.586631,82500,109500
b1r1,4,14,47,248.931215,82.619149,100500,89000
b1r1,5,15,39,0.934544,32.465576,631,23994
b1r1,6,14,46,105.698613,220.510645,64410,245000
b1r1,7,12,31,1.958901,48.544147,1892,66656
b1r1,8,14,49,105.061943,210.271650,59925,227000
b1r1,9,10,23,1.280153,6.995699,2230,20588
b1r1,10,12,38,123.311879,24.930879,60000,45000
b1r1,11,11,36,157.244978,46.674895,111000,89000
b1r1,12,14,45,1.511216,13.275392,1105,9930
b1r1,13,12,35,87.846280,19.576860,49500,45000
b1r1,14,14,34,0.817447,5.287508,797,5429
b1r1,15,14,45,5.242117,85.388160,3825,104395
b1r1,16,10,27,97.297677,37.549947,102371,71000
b1r1,17,12,37,114.566075,77.729799,74213,151000
b1r1,18,10,20,62.498131,10.675542,56500,46000
b1r1,19,10,32,0.601138,23.498923,715,44020
b1r1,20,10,24,99.241630,40.301264,84500,89500
b1r1,21,11,25,90.566715,22.868214,79000,69000
b1r1,22,13,42,6.455938,139.023294,5334,139673
b1r1,23,14,37,0.693752,11.790795,666,16183
b1r1,24,11,36,1.732504,4.127083,1636,6529
b1r1,25,31,129,359.499343,233.680080,60500,92000
b1r1,26,41,111,690.838868,173.972697,99000,99500
b1r1,27,43,150,55.070163,544.349655,9155,168835
b1r1,28,44,144,921.744366,115.472182,63500,55000
b1r1,29,38,148,5.021149,0.024382,892,1
b1r1,30,44,100,255.169008,131.477160,56717,91000
b1r1,31,35,150,1203.004474,758.110592,128500,128000
b1r1,32,43,102,633.352115,138.869910,104500,87500
b1r1,33,37,122,979.495160,327.834199,138500,158500
b1r1,34,32,117,702.374748,291.607806,110000,125500
b1r1,35,42,133,3.615191,27.348581,551,15526
b1r1,36,31,113,560.360913,888.035027,129000,172000
b1r1,37,41,116,573.092313,190.816348,107442,109500
b1r1,38,42,126,13.069490,218.445987,2960,106979
b1r1,39,13,42,2.799886,66.564796,2313,92381
b1r1,40,14,45,185.271842,142.575457,88000,135000
b1r1,41,12,30,37.752773,75.844555,39250,131000
b1r1,42,14,36,52.640766,59.810225,39306,93000
b1r1,43,15,45,170.341631,151.918768,94000,140000
b1r5,0,13,46,0.102447,0.315251,85,201
b1r5,1,14,45,356.883371,604.278075,225338,396000
b1r5,2,13,31,181.342143,283.352704,154500,286500
b1r5,3,12,43,691.993887,217.666626,264000,312000
b1r5,4,14,47,706.427723,252.497126,288000,268000
b1r5,5,15,39,0.408933,1.319227,323,1059
b1r5,6,14,46,72.562656,149.141195,47455,155413
b1r5,7,12,31,1.302718,2.273517,1484,3574
b1r5,8,14,49,69.046554,191.962614,38113,168364
b1r5,9,10,23,0.649245,0.684434,1056,1926
b1r5,10,12,38,301.105037,74.772361,145500,128500
b1r5,11,11,36,104.476845,57.763081,72477,104675
b1r5,12,14,45,0.645407,1.308282,464,824
b1r5,13,12,35,276.862311,84.872714,159500,201500
b1r5,14,14,34,0.398381,1.021495,377,932
b1r5,15,14,45,0.981123,1.432534,731,1713
b1r5,16,10,27,53.472691,132.056490,50305,152882
b1r5,17,12,37,87.164347,57.251629,56949,98013
b1r5,18,10,20,131.200813,19.325263,122500,86000
b1r5,19,10,32,0.621982,1.550267,757,2847
b1r5,20,10,24,236.043348,110.664666,208000,234000
b1r5,21,11,25,147.396397,92.243349,131000,277500
b1r5,22,13,42,2.640444,3.208711,2237,3212
b1r5,23,14,37,0.114952,0.898852,105,1083
b1r5,24,11,36,0.262762,0.477877,253,717
b1r5,25,31,129,1126.507030,2175.040871,190583,429500
b1r5,26,41,111,1547.738847,645.496160,229000,303000
b1r5,27,43,150,9.272888,13.643526,1613,3791
b1r5,28,44,144,1781.214538,339.567443,143500,166000
b1r5,29,38,148,2.751078,0.023259,522,1
b1r5,30,44,100,194.478753,280.062545,46196,180591
b1r5,31,35,150,3174.939419,2138.890752,378500,373500
b1r5,32,43,102,1237.603048,522.047461,230000,313500
b1r5,33,37,122,2290.079063,935.821040,349500,446500
b1r5,34,32,117,1732.352606,769.705972,293000,343500
b1r5,35,42,133,6.181451,7.366425,1041,4267
b1r5,36,31,113,250.430047,620.535721,59996,121649
b1r5,37,41,116,426.888880,247.735721,85904,136356
b1r5,38,42,126,7.087024,10.246564,1701,5017
b1r5,39,13,42,0.520407,1.374430,406,1654
b1r5,40,14,45,464.361365,396.894401,234500,394000
b1r5,41,12,30,14.512836,39.215419,13819,50354
b1r5,42,14,36,15.309892,26.874819,11780,33555
b1r5,43,15,45,429.481916,557.925987,244768,413000
rw_b100r10,0,7,26,0.014772,0.082162,15,14
rw_b100r10,1,8,29,0.629458,2.432973,605,559
rw_b100r10,2,11,43,616.799224,715.150971,241000,228500
rw_b100r10,3,11,11,0.000695,0.006271,1,1
rw_b100r10,4,12,37,674.746451,1879.788119,231899,235554
rw_b100r10,5,18,18,0.188714,0.036576,106,1
rw_b100r10,6,45,45,3685.448570,81508.650485,287737,295979
rw_b100r10,7,25,25,0.021785,0.115493,9,1
rw_b100r10,8,9,9,0.021610,2.386040,52,324
rw_b100r10,9,27,27,0.108680,16.453901,62,359
rw_b100r10,10,6,6,0.000210,0.000884,1,1
rw_b100r10,11,21,21,0.048817,0.009896,44,1
rw_b100r10,12,22,22,8.529687,493.551853,4249,6934
rw_b100r10,13,53,53,0.001471,0.003944,1,1
rw_b100r10,14,25,25,136.653709,3419.179865,57657,68084
rw_b100r10,15,10,10,0.044245,3.674347,92,390
rw_b100r10,16,23,23,0.023744,0.079858,12,1
rw_b100r10,17,34,34,0.047252,70.299165,11,252
rw_b100r10,18,22,22,8.552957,496.323006,4249,6934
rw_b100r10,19,23,23,0.042976,12.485227,21,170
rw_b100r10,20,30,30,349.792408,1780.669193,91500,93500
rw_b100r10,21,16,16,0.087223,8.356213,78,253
rw_b100r10,22,27,27,1.523300,51.389722,828,1507
rw_b100r1,0,7,26,5.954831,23.040204,7178,4266
rw_b100r1,1,8,29,2.802300,30.584084,2865,7394
rw_b100r1,2,11,43,127.202109,107.041556,40500,37500
rw_b100r1,3,11,11,0.000633,0.006270,1,1
rw_b100r1,4,12,37,337.221201,926.204255,110000,108500
rw_b100r1,5,18,18,0.131102,7.078832,74,166
rw_b100r1,6,45,45,1066.525837,26779.668305,82500,82000
rw_b100r1,7,25,25,0.002170,0.119453,1,1
rw_b100r1,8,9,9,0.008357,0.530137,20,69
rw_b100r1,9,27,27,0.097835,6.099580,55,127
rw_b100r1,10,6,6,0.000225,0.000922,1,1
rw_b100r1,11,21,21,0.015782,0.316185,14,31
rw_b100r1,12,22,22,33.389957,1417.719799,16172,18766
rw_b100r1,13,53,53,0.001614,0.004038,1,1
rw_b100r1,14,25,25,242.508175,6745.971745,99411,109221
rw_b100r1,15,10,10,0.058850,1.785043,127,175
rw_b100r1,16,23,23,0.007085,0.087564,4,1
rw_b100r1,17,34,34,0.006303,2.940838,2,10
rw_b100r1,18,22,22,32.692759,1419.776873,16172,18766
rw_b100r1,19,23,23,0.003702,2.346497,2,30
rw_b100r1,20,30,30,151.777624,773.532236,38500,38500
rw_b100r1,21,16,16,0.026810,2.600904,24,75
rw_b100r1,22,27,27,14.334554,324.514133,7986,8968
rw_b100r5,0,7,26,0.137219,0.806537,153,140
rw_b100r5,1,8,29,1.652588,6.787005,1636,1606
rw_b100r5,2,11,43,320.525801,239.608650,121500,81500
rw_b100r5,3,11,11,0.000660,0.006212,1,1
rw_b100r5,4,12,37,960.822052,2629.676997,330000,320500
rw_b100r5,5,18,18,0.186336,12.338719,107,294
rw_b100r5,6,45,45,3020.685395,65861.550322,237000,231500
rw_b100r5,7,25,25,0.011973,0.116366,5,1
rw_b100r5,8,9,9,0.015857,1.515791,38,205
rw_b100r5,9,27,27,0.161673,14.903426,91,328
rw_b100r5,10,6,6,0.000219,0.000890,1,1
rw_b100r5,11,21,21,0.033019,0.761841,30,77
rw_b100r5,12,22,22,26.908944,1274.575805,13255,17556
rw_b100r5,13,53,53,0.001533,0.003869,1,1
rw_b100r5,14,25,25,348.626112,8716.951023,143675,161271
rw_b100r5,15,10,10,0.070897,2.971368,150,304
rw_b100r5,16,23,23,0.024833,0.082586,12,1
rw_b100r5,17,34,34,0.052867,53.020531,12,191
rw_b100r5,18,22,22,26.768702,1270.572250,13255,17556
rw_b100r5,19,23,23,0.026408,6.588474,13,86
rw_b100r5,20,30,30,246.014332,1543.796330,64000,79000
rw_b100r5,21,16,16,0.066403,6.078543,58,181
rw_b100r5,22,27,27,8.039012,186.803661,4425,5326
rw_b10r10,0,7,26,0.014486,0.039710,15,25
rw_b10r10,1,8,29,0.620871,0.587347,605,542
rw_b10r10,2,11,43,611.284945,212.519355,241000,218000
rw_b10r10,3,11,11,0.000659,0.000917,1,1
rw_b10r10,4,12,37,670.325167,406.465671,231899,263823
rw_b10r10,5,18,18,0.187625,0.037391,106,8
rw_b10r10,6,45,45,3680.734254,11009.422231,287737,298500
rw_b10r10,7,25,25,0.028795,0.015570,9,1
rw_b10r10,8,9,9,0.031313,2.049798,52,1833
rw_b10r10,9,27,27,0.142765,0.006707,62,1
rw_b10r10,10,6,6,0.000279,0.000275,1,1
rw_b10r10,11,21,21,0.066389,0.002171,44,1
rw_b10r10,12,22,22,11.222135,310.400630,4249,30955
rw_b10r10,13,53,53,0.002147,0.001914,1,1
rw_b10r10,14,25,25,181.834464,839.370839,57657,116884
rw_b10r10,15,10,10,0.059755,2.619391,92,1839
rw_b10r10,16,23,23,0.031810,0.011553,12,1
rw_b10r10,17,34,34,0.064324,121.692991,11,3257
rw_b10r10,18,22,22,11.221683,312.481443,4249,30955
rw_b10r10,19,23,23,0.056315,0.010841,21,1
rw_b10r10,20,30,30,449.476994,290.757575,91500,98000
rw_b10r10,21,16,16,0.112600,6.457539,78,1382
rw_b10r10,22,27,27,2.020907,26.565467,828,4958
rw_b10r1,0,7,26,5.845944,7.582548,7178,7213
rw_b10r1,1,8,29,2.771325,11.526996,2865,11237
rw_b10r1,2,11,43,124.717710,24.788027,40500,34000
rw_b10r1,3,11,11,0.000813,0.000824,1,1
rw_b10r1,4,12,37,331.846609,164.717236,110000,103000
rw_b10r1,5,18,18,0.132271,4.692473,74,1023
rw_b10r1,6,45,45,1070.569481,2907.375734,82500,73000
rw_b10r1,7,25,25,0.002919,0.017200,1,1
rw_b10r1,8,9,9,0.011710,0.525655,20,447
rw_b10r1,9,27,27,0.131303,0.007312,55,1
rw_b10r1,10,6,6,0.000312,0.000306,1,1
rw_b10r1,11,21,21,0.021848,0.002316,14,1
rw_b10r1,12,22,22,43.399066,396.383077,16172,37648
rw_b10r1,13,53,53,0.002256,0.002003,1,1
rw_b10r1,14,25,25,317.786610,1108.369039,99411,126329
rw_b10r1,15,10,10,0.079881,1.329013,127,900
rw_b10r1,16,23,23,0.009536,0.011661,4,1
rw_b10r1,17,34,34,0.008478,3.854352,2,98
rw_b10r1,18,22,22,43.313503,395.644833,16172,37648
rw_b10r1,19,23,23,0.004975,0.011387,2,1
rw_b10r1,20,30,30,195.261684,114.804594,38500,38000
rw_b10r1,21,16,16,0.036151,2.174972,24,435
rw_b10r1,22,27,27,19.139567,90.608650,7986,16541
rw_b10r5,0,7,26,0.134101,0.290382,153,219
rw_b10r5,1,8,29,1.632457,1.724182,1636,1617
rw_b10r5,2,11,43,319.520864,51.593572,121500,69000
rw_b10r5,3,11,11,0.000639,0.000883,1,1
rw_b10r5,4,12,37,957.635348,501.979351,330000,319500
rw_b10r5,5,18,18,0.186373,9.657875,107,2154
rw_b10r5,6,45,45,3020.246584,7845.542747,237000,209500
rw_b10r5,7,25,25,0.015313,0.015913,5,1
rw_b10r5,8,9,9,0.021278,1.405598,38,1258
rw_b10r5,9,27,27,0.209684,0.006911,91,1
rw_b10r5,10,6,6,0.000295,0.000295,1,1
rw_b10r5,11,21,21,0.045847,0.002151,30,1
rw_b10r5,12,22,22,35.113229,548.425191,13255,53687
rw_b10r5,13,53,53,0.002158,0.002030,1,1
rw_b10r5,14,25,25,449.493539,1642.247260,143675,217239
rw_b10r5,15,10,10,0.094557,2.970749,150,2081
rw_b10r5,16,23,23,0.031033,0.011550,12,1
rw_b10r5,17,34,34,0.066748,86.522173,12,2376
rw_b10r5,18,22,22,34.639707,544.103903,13255,53687
rw_b10r5,19,23,23,0.034858,0.011089,13,1
rw_b10r5,20,30,30,312.024803,198.226578,64000,69000
rw_b10r5,21,16,16,0.085411,5.890667,58,1244
rw_b10r5,22,27,27,10.665300,71.564317,4425,13370
rw_b1r10,0,7,26,0.014756,0.048470,15,40
rw_b1r10,1,8,29,0.637173,0.345014,605,447
rw_b1r10,2,11,43,622.396030,188.716970,241000,250000
rw_b1r10,3,11,11,0.000717,0.000294,1,1
rw_b1r10,4,12,37,682.815690,447.634934,231899,500000
rw_b1r10,5,18,18,0.191502,0.000751,106,1
rw_b1r10,6,45,45,3745.756818,1637.736237,287737,387500
rw_b1r10,7,25,25,0.029602,0.001919,9,1
rw_b1r10,8,9,9,0.030256,0.000237,52,1
rw_b1r10,9,27,27,0.150283,0.001271,62,1
rw_b1r10,10,6,6,0.000306,0.000193,1,1
rw_b1r10,11,21,21,0.068485,0.000954,44,1
rw_b1r10,12,22,22,11.650151,332.307449,4249,269887
rw_b1r10,13,53,53,0.002055,0.001726,1,1
rw_b1r10,14,25,25,187.392186,482.264751,57657,500000
rw_b1r10,15,10,10,0.061687,3.916965,92,16794
rw_b1r10,16,23,23,0.032517,0.001387,12,1
rw_b1r10,17,34,34,0.064064,0.003827,11,1
rw_b1r10,18,22,22,11.484414,330.091613,4249,269887
rw_b1r10,19,23,23,0.059434,0.001469,21,1
rw_b1r10,20,30,30,458.497247,55.191505,91500,102500
rw_b1r10,21,16,16,0.119202,0.000631,78,1
rw_b1r10,22,27,27,2.067236,38.597116,828,41363
rw_b1r1,0,7,26,5.840268,17.246258,7178,28097
rw_b1r1,1,8,29,2.745479,28.950902,2865,40190
rw_b1r1,2,11,43,124.480441,14.717556,40500,29000
rw_b1r1,3,11,11,0.000629,0.000318,1,1
rw_b1r1,4,12,37,329.513633,97.530034,110000,111500
rw_b1r1,5,18,18,0.128720,0.000676,74,1
rw_b1r1,6,45,45,1061.981193,278.602492,82500,64500
rw_b1r1,7,25,25,0.002790,0.001892,1,1
rw_b1r1,8,9,9,0.011693,0.000214,20,1
rw_b1r1,9,27,27,0.129990,0.001157,55,1
rw_b1r1,10,6,6,0.000313,0.000195,1,1
rw_b1r1,11,21,21,0.021612,0.000918,14,1
rw_b1r1,12,22,22,43.054855,274.345970,16172,222500
rw_b1r1,13,53,53,0.002074,0.001701,1,1
rw_b1r1,14,25,25,316.327185,194.436265,99411,178500
rw_b1r1,15,10,10,0.079418,1.840721,127,7993
rw_b1r1,16,23,23,0.009446,0.001414,4,1
rw_b1r1,17,34,34,0.008181,0.003848,2,1
rw_b1r1,18,22,22,43.187268,274.480164,16172,222500
rw_b1r1,19,23,23,0.004758,0.001447,2,1
rw_b1r1,20,30,30,194.772551,20.579005,38500,38000
rw_b1r1,21,16,16,0.036072,0.000661,24,1
rw_b1r1,22,27,27,18.991055,86.495733,7986,93474
rw_b1r5,0,7,26,0.135645,0.323235,153,371
rw_b1r5,1,8,29,1.625292,1.107107,1636,1499
rw_b1r5,2,11,43,318.910996,40.463233,121500,77000
rw_b1r5,3,11,11,0.000627,0.000311,1,1
rw_b1r5,4,12,37,977.076397,378.883168,330000,421500
rw_b1r5,5,18,18,0.191726,0.000746,107,1
rw_b1r5,6,45,45,3074.008051,1005.434758,237000,235500
rw_b1r5,7,25,25,0.016033,0.001981,5,1
rw_b1r5,8,9,9,0.022141,0.000240,38,1
rw_b1r5,9,27,27,0.218277,0.001280,91,1
rw_b1r5,10,6,6,0.000303,0.000199,1,1
rw_b1r5,11,21,21,0.047213,0.000962,30,1
rw_b1r5,12,22,22,36.519847,524.255835,13255,419084
rw_b1r5,13,53,53,0.002306,0.001606,1,1
rw_b1r5,14,25,25,469.276512,509.127719,143675,500000
rw_b1r5,15,10,10,0.099160,5.265543,150,22284
rw_b1r5,16,23,23,0.032052,0.001379,12,1
rw_b1r5,17,34,34,0.069135,0.003937,12,1
rw_b1r5,18,22,22,36.264436,520.562505,13255,419084
rw_b1r5,19,23,23,0.035981,0.001348,13,1
rw_b1r5,20,30,30,324.118183,37.094572,64000,68500
rw_b1r5,21,16,16,0.089827,0.000650,58,1
rw_b1r5,22,27,27,10.938444,93.731527,4425,100395
