source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch,binary_work,nary_work,work_speedup,est_nary_runtime_s
b10r5,38,42,126,7.050329,14.186500,1701,2631,928,518,1.7915,3.9354
b10r5,39,13,42,0.516571,0.559887,406,382,196,145,1.3517,0.3822
b10r5,40,14,45,462.419378,477.517162,234500,291856,227,97,2.3402,197.5977
b10r5,41,12,30,14.507655,21.454862,13819,17349,133,106,1.2547,11.5625
b10r5,42,14,36,15.470121,20.859751,11780,13015,162,141,1.1489,13.4647
b10r5,43,15,45,429.101602,566.613160,244768,295442,227,174,1.3046,328.9149
b1r10,0,13,46,0.008753,0.036953,5,16,182,75,2.4267,0.0036
b1r10,1,14,45,41.355646,88.105385,24980,55579,193,115,1.6783,24.6420
b1r10,2,13,31,39.437390,77.008204,34093,76031,116,96,1.2083,32.6378
b1r10,3,12,43,526.773420,262.679045,247561,393726,162,100,1.6200,325.1688
b1r10,4,14,47,448.854466,263.241560,198771,273211,195,118,1.6525,271.6145
b1r10,5,15,39,0.114697,0.428451,83,308,171,86,1.9884,0.0577
b1r10,6,14,46,21.499174,27.450765,13831,25610,202,134,1.5075,14.2618
b1r10,7,12,31,0.557958,0.957310,601,1338,130,94,1.3830,0.4034
b1r10,8,14,49,38.176827,33.885170,20575,27961,218,159,1.3711,27.8446
b1r10,9,10,23,0.271425,0.331021,378,698,87,59,1.4746,0.1841
b1r10,10,12,38,458.053279,249.777516,242500,357500,204,80,2.5500,179.6287
b1r10,11,11,36,27.591267,13.099305,20591,22894,129,93,1.3871,19.8914
b1r10,12,14,45,0.146359,0.406546,100,235,199,100,1.9900,0.0735
b1r10,13,12,35,127.027740,52.134262,77482,119277,160,96,1.6667,76.2166
b1r10,14,14,34,0.086973,0.270842,83,230,150,76,1.9737,0.0441
b1r10,15,14,45,0.246862,0.505938,169,354,238,97,2.4536,0.1006
b1r10,16,10,27,15.092241,26.173375,13935,29876,96,71,1.3521,11.1620
b1r10,17,12,37,21.777066,10.015349,14221,17179,149,120,1.2417,17.5386
b1r10,18,10,20,254.765463,35.355661,240500,156500,84,37,2.2703,112.2181
b1r10,19,10,32,0.779778,1.507701,701,1717,116,77,1.5065,0.5176
b1r10,20,10,24,198.338202,132.882238,171474,278767,96,70,1.3714,144.6216
b1r10,21,11,25,64.618826,89.122381,58534,238939,93,57,1.6316,39.6051
b1r10,22,13,42,1.497871,2.049241,1128,1377,181,138,1.3116,1.1420
b1r10,23,14,37,0.019849,0.305393,16,206,159,83,1.9157,0.0104
b1r10,24,11,36,0.063382,0.115190,52,114,132,66,2.0000,0.0317
b1r10,25,31,129,219.201145,557.447094,37987,91585,961,402,2.3905,91.6950
b1r10,26,41,111,2293.781383,1122.328945,327500,500000,893,340,2.6265,873.3322
b1r10,27,43,150,4.206536,10.026675,650,1314,1040,625,1.6640,2.5280
b1r10,28,44,144,2438.041039,673.481269,214000,310000,1145,614,1.8648,1307.3862
b1r10,30,44,100,45.507999,70.573919,10777,41018,702,416,1.6875,26.9677
b1r10,31,35,150,731.820883,846.192140,94833,146754,1263,702,1.7991,406.7603
b1r10,32,43,102,1700.446358,869.090826,346000,500000,772,432,1.7870,951.5451
b1r10,33,37,122,1699.012137,912.933266,254040,414650,861,500,1.7220,986.6505
b1r10,34,32,117,1708.708073,924.959498,287120,394024,753,539,1.3970,1223.0991
b1r10,35,42,133,6.869607,9.768473,1160,4952,1059,460,2.3022,2.9840
b1r10,36,31,113,91.861025,177.673159,21372,33178,640,506,1.2648,72.6276
b1r10,37,41,116,102.021772,70.812731,21260,37684,939,695,1.3511,75.5113
b1r10,38,42,126,5.790164,15.301591,1220,4208,928,518,1.7915,3.2320
b1r10,39,13,42,0.094645,0.466585,62,457,196,145,1.3517,0.0700
b1r10,40,14,45,115.527564,143.664097,56562,98795,227,97,2.3402,49.3664
b1r10,41,12,30,6.013343,21.247726,5530,22740,133,106,1.2547,4.7926
b1r10,42,14,36,10.220383,17.212096,7695,20984,162,141,1.1489,8.8955
b1r10,43,15,45,68.819398,93.392109,39171,68989,227,174,1.3046,52.7514
b1r1,0,13,46,0.926566,13.493989,873,11132,182,75,2.4267,0.3818
b1r1,1,14,45,175.157625,123.337562,132500,153000,193,115,1.6783,104.3685
b1r1,2,13,31,121.248385,120.883167,120000,154500,116,96,1.2083,100.3435
b1r1,3,12,43,201.712433,71.586631,82500,109500,162,100,1.6200,124.5138
b1r1,4,14,47,248.931215,82.619149,100500,89000,195,118,1.6525,150.6353
b1r1,5,15,39,0.934544,32.465576,631,23994,171,86,1.9884,0.4700
b1r1,6,14,46,105.698613,220.510645,64410,245000,202,134,1.5075,70.1169
b1r1,7,12,31,1.958901,48.544147,1892,66656,130,94,1.3830,1.4164
b1r1,8,14,49,105.061943,210.271650,59925,227000,218,159,1.3711,76.6277
b1r1,9,10,23,1.280153,6.995699,2230,20588,87,59,1.4746,0.8681
b1r1,10,12,38,123.311879,24.930879,60000,45000,204,80,2.5500,48.3576
b1r1,11,11,36,157.244978,46.674895,111000,89000,129,93,1.3871,113.3627
b1r1,12,14,45,1.511216,13.275392,1105,9930,199,100,1.9900,0.7594
b1r1,13,12,35,87.846280,19.576860,49500,45000,160,96,1.6667,52.7078
b1r1,14,14,34,0.817447,5.287508,797,5429,150,76,1.9737,0.4142
b1r1,15,14,45,5.242117,85.388160,3825,104395,238,97,2.4536,2.1365
b1r1,16,10,27,97.297677,37.549947,102371,71000,96,71,1.3521,71.9597
b1r1,17,12,37,114.566075,77.729799,74213,151000,149,120,1.2417,92.2680
b1r1,18,10,20,62.498131,10.675542,56500,46000,84,37,2.2703,27.5289
b1r1,19,10,32,0.601138,23.498923,715,44020,116,77,1.5065,0.3990
b1r1,20,10,24,99.241630,40.301264,84500,89500,96,70,1.3714,72.3637
b1r1,21,11,25,90.566715,22.868214,79000,69000,93,57,1.6316,55.5086
b1r1,22,13,42,6.455938,139.023294,5334,139673,181,138,1.3116,4.9222
b1r1,23,14,37,0.693752,11.790795,666,16183,159,83,1.9157,0.3621
b1r1,24,11,36,1.732504,4.127083,1636,6529,132,66,2.0000,0.8663
b1r1,25,31,129,359.499343,233.680080,60500,92000,961,402,2.3905,150.3837
b1r1,26,41,111,690.838868,173.972697,99000,99500,893,340,2.6265,263.0294
b1r1,27,43,150,55.070163,544.349655,9155,168835,1040,625,1.6640,33.0950
b1r1,28,44,144,921.744366,115.472182,63500,55000,1145,614,1.8648,494.2804
b1r1,30,44,100,255.169008,131.477160,56717,91000,702,416,1.6875,151.2113
b1r1,31,35,150,1203.004474,758.110592,128500,128000,1263,702,1.7991,668.6533
b1r1,32,43,102,633.352115,138.869910,104500,87500,772,432,1.7870,354.4147
b1r1,33,37,122,979.495160,327.834199,138500,158500,861,500,1.7220,568.8125
b1r1,34,32,117,702.374748,291.607806,110000,125500,753,539,1.3970,502.7623
b1r1,35,42,133,3.615191,27.348581,551,15526,1059,460,2.3022,1.5703
b1r1,36,31,113,560.360913,888.035027,129000,172000,640,506,1.2648,443.0353
b1r1,37,41,116,573.092313,190.816348,107442,109500,939,695,1.3511,424.1738
b1r1,38,42,126,13.069490,218.445987,2960,106979,928,518,1.7915,7.2953
b1r1,39,13,42,2.799886,66.564796,2313,92381,196,145,1.3517,2.0713
b1r1,40,14,45,185.271842,142.575457,88000,135000,227,97,2.3402,79.1690
b1r1,41,12,30,37.752773,75.844555,39250,131000,133,106,1.2547,30.0887
b1r1,42,14,36,52.640766,59.810225,39306,93000,162,141,1.1489,45.8170
b1r1,43,15,45,170.341631,151.918768,94000,140000,227,174,1.3046,130.5702
b1r5,0,13,46,0.102447,0.315251,85,201,182,75,2.4267,0.0422
b1r5,1,14,45,356.883371,604.278075,225338,396000,193,115,1.6783,212.6507
b1r5,2,13,31,181.342143,283.352704,154500,286500,116,96,1.2083,150.0763
b1r5,3,12,43,691.993887,217.666626,264000,312000,162,100,1.6200,427.1567
b1r5,4,14,47,706.427723,252.497126,288000,268000,195,118,1.6525,427.4793
b1r5,5,15,39,0.408933,1.319227,323,1059,171,86,1.9884,0.2057
b1r5,6,14,46,72.562656,149.141195,47455,155413,202,134,1.5075,48.1356
b1r5,7,12,31,1.302718,2.273517,1484,3574,130,94,1.3830,0.9420
b1r5,8,14,49,69.046554,191.962614,38113,168364,218,159,1.3711,50.3596
b1r5,9,10,23,0.649245,0.684434,1056,1926,87,59,1.4746,0.4403
b1r5,10,12,38,301.105037,74.772361,145500,128500,204,80,2.5500,118.0804
b1r5,11,11,36,104.476845,57.763081,72477,104675,129,93,1.3871,75.3205
b1r5,12,14,45,0.645407,1.308282,464,824,199,100,1.9900,0.3243
b1r5,13,12,35,276.862311,84.872714,159500,201500,160,96,1.6667,166.1174
b1r5,14,14,34,0.398381,1.021495,377,932,150,76,1.9737,0.2018
b1r5,15,14,45,0.981123,1.432534,731,1713,238,97,2.4536,0.3999
b1r5,16,10,27,53.472691,132.056490,50305,152882,96,71,1.3521,39.5475
b1r5,17,12,37,87.164347,57.251629,56949,98013,149,120,1.2417,70.1995
b1r5,18,10,20,131.200813,19.325263,122500,86000,84,37,2.2703,57.7908
b1r5,19,10,32,0.621982,1.550267,757,2847,116,77,1.5065,0.4129
b1r5,20,10,24,236.043348,110.664666,208000,234000,96,70,1.3714,172.1149
b1r5,21,11,25,147.396397,92.243349,131000,277500,93,57,1.6316,90.3397
b1r5,22,13,42,2.640444,3.208711,2237,3212,181,138,1.3116,2.0132
b1r5,23,14,37,0.114952,0.898852,105,1083,159,83,1.9157,0.0600
b1r5,24,11,36,0.262762,0.477877,253,717,132,66,2.0000,0.1314
b1r5,25,31,129,1126.507030,2175.040871,190583,429500,961,402,2.3905,471.2340
b1r5,26,41,111,1547.738847,645.496160,229000,303000,893,340,2.6265,589.2847
b1r5,27,43,150,9.272888,13.643526,1613,3791,1040,625,1.6640,5.5726
b1r5,28,44,144,1781.214538,339.567443,143500,166000,1145,614,1.8648,955.1666
b1r5,30,44,100,194.478753,280.062545,46196,180591,702,416,1.6875,115.2467
b1r5,31,35,150,3174.939419,2138.890752,378500,373500,1263,702,1.7991,1764.6932
b1r5,32,43,102,1237.603048,522.047461,230000,313500,772,432,1.7870,692.5447
b1r5,33,37,122,2290.079063,935.821040,349500,446500,861,500,1.7220,1329.8949
b1r5,34,32,117,1732.352606,769.705972,293000,343500,753,539,1.3970,1240.0240
b1r5,35,42,133,6.181451,7.366425,1041,4267,1059,460,2.3022,2.6850
b1r5,36,31,113,250.430047,620.535721,59996,121649,640,506,1.2648,197.9963
b1r5,37,41,116,426.888880,247.735721,85904,136356,939,695,1.3511,315.9614
b1r5,38,42,126,7.087024,10.246564,1701,5017,928,518,1.7915,3.9559
b1r5,39,13,42,0.520407,1.374430,406,1654,196,145,1.3517,0.3850
b1r5,40,14,45,464.361365,396.894401,234500,394000,227,97,2.3402,198.4275
b1r5,41,12,30,14.512836,39.215419,13819,50354,133,106,1.2547,11.5666
b1r5,42,14,36,15.309892,26.874819,11780,33555,162,141,1.1489,13.3253
b1r5,43,15,45,429.481916,557.925987,244768,413000,227,174,1.3046,329.2064
rw_b100r10,0,7,26,0.014772,0.082162,15,14,96,54,1.7778,0.0083
rw_b100r10,1,8,29,0.629458,2.432973,605,559,100,77,1.2987,0.4847
rw_b100r10,2,11,43,616.799224,715.150971,241000,228500,163,61,2.6721,230.8267
rw_b100r10,4,12,37,674.746451,1879.788119,231899,235554,147,97,1.5155,445.2409
rw_b100r10,6,45,45,3685.448570,81508.650485,287737,295979,1034,45,22.9778,160.3919
rw_b100r10,8,9,9,0.021610,2.386040,52,324,44,9,4.8889,0.0044
rw_b100r10,9,27,27,0.108680,16.453901,62,359,271,57,4.7544,0.0229
rw_b100r10,12,22,22,8.529687,493.551853,4249,6934,249,24,10.3750,0.8221
rw_b100r10,14,25,25,136.653709,3419.179865,57657,68084,246,35,7.0286,19.4426
rw_b100r10,15,10,10,0.044245,3.674347,92,390,54,10,5.4000,0.0082
rw_b100r10,17,34,34,0.047252,70.299165,11,252,594,34,17.4706,0.0027
rw_b100r10,18,22,22,8.552957,496.323006,4249,6934,249,24,10.3750,0.8244
rw_b100r10,19,23,23,0.042976,12.485227,21,170,241,33,7.3030,0.0059
rw_b100r10,20,30,30,349.792408,1780.669193,91500,93500,464,30,15.4667,22.6159
rw_b100r10,21,16,16,0.087223,8.356213,78,253,135,16,8.4375,0.0103
rw_b100r10,22,27,27,1.523300,51.389722,828,1507,187,59,3.1695,0.4806
rw_b100r1,0,7,26,5.954831,23.040204,7178,4266,96,54,1.7778,3.3496
rw_b100r1,1,8,29,2.802300,30.584084,2865,7394,100,77,1.2987,2.1578
rw_b100r1,2,11,43,127.202109,107.041556,40500,37500,163,61,2.6721,47.6032
rw_b100r1,4,12,37,337.221201,926.204255,110000,108500,147,97,1.5155,222.5201
rw_b100r1,5,18,18,0.131102,7.078832,74,166,138,25,5.5200,0.0238
rw_b100r1,6,45,45,1066.525837,26779.668305,82500,82000,1034,45,22.9778,46.4155
rw_b100r1,8,9,9,0.008357,0.530137,20,69,44,9,4.8889,0.0017
rw_b100r1,9,27,27,0.097835,6.099580,55,127,271,57,4.7544,0.0206
rw_b100r1,11,21,21,0.015782,0.316185,14,31,138,48,2.8750,0.0055
rw_b100r1,12,22,22,33.389957,1417.719799,16172,18766,249,24,10.3750,3.2183
rw_b100r1,14,25,25,242.508175,6745.971745,99411,109221,246,35,7.0286,34.5032
rw_b100r1,15,10,10,0.058850,1.785043,127,175,54,10,5.4000,0.0109
rw_b100r1,17,34,34,0.006303,2.940838,2,10,594,34,17.4706,0.0004
rw_b100r1,18,22,22,32.692759,1419.776873,16172,18766,249,24,10.3750,3.1511
rw_b100r1,19,23,23,0.003702,2.346497,2,30,241,33,7.3030,0.0005
rw_b100r1,20,30,30,151.777624,773.532236,38500,38500,464,30,15.4667,9.8132
rw_b100r1,21,16,16,0.026810,2.600904,24,75,135,16,8.4375,0.0032
rw_b100r1,22,27,27,14.334554,324.514133,7986,8968,187,59,3.1695,4.5227
rw_b100r5,0,7,26,0.137219,0.806537,153,140,96,54,1.7778,0.0772
rw_b100r5,1,8,29,1.652588,6.787005,1636,1606,100,77,1.2987,1.2725
rw_b100r5,2,11,43,320.525801,239.608650,121500,81500,163,61,2.6721,119.9514
rw_b100r5,4,12,37,960.822052,2629.676997,330000,320500,147,97,1.5155,634.0118
rw_b100r5,5,18,18,0.186336,12.338719,107,294,138,25,5.5200,0.0338
rw_b100r5,6,45,45,3020.685395,65861.550322,237000,231500,1034,45,22.9778,131.4612
rw_b100r5,8,9,9,0.015857,1.515791,38,205,44,9,4.8889,0.0032
rw_b100r5,9,27,27,0.161673,14.903426,91,328,271,57,4.7544,0.0340
rw_b100r5,11,21,21,0.033019,0.761841,30,77,138,48,2.8750,0.0115
rw_b100r5,12,22,22,26.908944,1274.575805,13255,17556,249,24,10.3750,2.5936
rw_b100r5,14,25,25,348.626112,8716.951023,143675,161271,246,35,7.0286,49.6013
rw_b100r5,15,10,10,0.070897,2.971368,150,304,54,10,5.4000,0.0131
rw_b100r5,17,34,34,0.052867,53.020531,12,191,594,34,17.4706,0.0030
rw_b100r5,18,22,22,26.768702,1270.572250,13255,17556,249,24,10.3750,2.5801
rw_b100r5,19,23,23,0.026408,6.588474,13,86,241,33,7.3030,0.0036
rw_b100r5,20,30,30,246.014332,1543.796330,64000,79000,464,30,15.4667,15.9061
rw_b100r5,21,16,16,0.066403,6.078543,58,181,135,16,8.4375,0.0079
rw_b100r5,22,27,27,8.039012,186.803661,4425,5326,187,59,3.1695,2.5364
rw_b10r10,0,7,26,0.014486,0.039710,15,25,96,54,1.7778,0.0081
rw_b10r10,1,8,29,0.620871,0.587347,605,542,100,77,1.2987,0.4781
rw_b10r10,2,11,43,611.284945,212.519355,241000,218000,163,61,2.6721,228.7631
rw_b10r10,4,12,37,670.325167,406.465671,231899,263823,147,97,1.5155,442.3234
rw_b10r10,5,18,18,0.187625,0.037391,106,8,138,25,5.5200,0.0340
rw_b10r10,6,45,45,3680.734254,11009.422231,287737,298500,1034,45,22.9778,160.1867
rw_b10r10,8,9,9,0.031313,2.049798,52,1833,44,9,4.8889,0.0064
rw_b10r10,12,22,22,11.222135,310.400630,4249,30955,249,24,10.3750,1.0817
rw_b10r10,14,25,25,181.834464,839.370839,57657,116884,246,35,7.0286,25.8708
rw_b10r10,15,10,10,0.059755,2.619391,92,1839,54,10,5.4000,0.0111
rw_b10r10,17,34,34,0.064324,121.692991,11,3257,594,34,17.4706,0.0037
rw_b10r10,18,22,22,11.221683,312.481443,4249,30955,249,24,10.3750,1.0816
rw_b10r10,20,30,30,449.476994,290.757575,91500,98000,464,30,15.4667,29.0610
rw_b10r10,21,16,16,0.112600,6.457539,78,1382,135,16,8.4375,0.0133
rw_b10r10,22,27,27,2.020907,26.565467,828,4958,187,59,3.1695,0.6376
rw_b10r1,0,7,26,5.845944,7.582548,7178,7213,96,54,1.7778,3.2883
rw_b10r1,1,8,29,2.771325,11.526996,2865,11237,100,77,1.2987,2.1339
rw_b10r1,2,11,43,124.717710,24.788027,40500,34000,163,61,2.6721,46.6735
rw_b10r1,4,12,37,331.846609,164.717236,110000,103000,147,97,1.5155,218.9736
rw_b10r1,5,18,18,0.132271,4.692473,74,1023,138,25,5.5200,0.0240
rw_b10r1,6,45,45,1070.569481,2907.375734,82500,73000,1034,45,22.9778,46.5915
rw_b10r1,8,9,9,0.011710,0.525655,20,447,44,9,4.8889,0.0024
rw_b10r1,12,22,22,43.399066,396.383077,16172,37648,249,24,10.3750,4.1830
rw_b10r1,14,25,25,317.786610,1108.369039,99411,126329,246,35,7.0286,45.2135
rw_b10r1,15,10,10,0.079881,1.329013,127,900,54,10,5.4000,0.0148
rw_b10r1,17,34,34,0.008478,3.854352,2,98,594,34,17.4706,0.0005
rw_b10r1,18,22,22,43.313503,395.644833,16172,37648,249,24,10.3750,4.1748
rw_b10r1,20,30,30,195.261684,114.804594,38500,38000,464,30,15.4667,12.6247
rw_b10r1,21,16,16,0.036151,2.174972,24,435,135,16,8.4375,0.0043
rw_b10r1,22,27,27,19.139567,90.608650,7986,16541,187,59,3.1695,6.0387
rw_b10r5,0,7,26,0.134101,0.290382,153,219,96,54,1.7778,0.0754
rw_b10r5,1,8,29,1.632457,1.724182,1636,1617,100,77,1.2987,1.2570
rw_b10r5,2,11,43,319.520864,51.593572,121500,69000,163,61,2.6721,119.5753
rw_b10r5,4,12,37,957.635348,501.979351,330000,319500,147,97,1.5155,631.9090
rw_b10r5,5,18,18,0.186373,9.657875,107,2154,138,25,5.5200,0.0338
rw_b10r5,6,45,45,3020.246584,7845.542747,237000,209500,1034,45,22.9778,131.4421
rw_b10r5,8,9,9,0.021278,1.405598,38,1258,44,9,4.8889,0.0044
rw_b10r5,12,22,22,35.113229,548.425191,13255,53687,249,24,10.3750,3.3844
rw_b10r5,14,25,25,449.493539,1642.247260,143675,217239,246,35,7.0286,63.9523
rw_b10r5,15,10,10,0.094557,2.970749,150,2081,54,10,5.4000,0.0175
rw_b10r5,17,34,34,0.066748,86.522173,12,2376,594,34,17.4706,0.0038
rw_b10r5,18,22,22,34.639707,544.103903,13255,53687,249,24,10.3750,3.3388
rw_b10r5,20,30,30,312.024803,198.226578,64000,69000,464,30,15.4667,20.1740
rw_b10r5,21,16,16,0.085411,5.890667,58,1244,135,16,8.4375,0.0101
rw_b10r5,22,27,27,10.665300,71.564317,4425,13370,187,59,3.1695,3.3650
rw_b1r10,0,7,26,0.014756,0.048470,15,40,96,54,1.7778,0.0083
rw_b1r10,1,8,29,0.637173,0.345014,605,447,100,77,1.2987,0.4906
rw_b1r10,2,11,43,622.396030,188.716970,241000,250000,163,61,2.6721,232.9212
rw_b1r10,4,12,37,682.815690,447.634934,231899,500000,147,97,1.5155,450.5655
rw_b1r10,6,45,45,3745.756818,1637.736237,287737,387500,1034,45,22.9778,163.0165
rw_b1r10,12,22,22,11.650151,332.307449,4249,269887,249,24,10.3750,1.1229
rw_b1r10,14,25,25,187.392186,482.264751,57657,500000,246,35,7.0286,26.6615
rw_b1r10,15,10,10,0.061687,3.916965,92,16794,54,10,5.4000,0.0114
rw_b1r10,18,22,22,11.484414,330.091613,4249,269887,249,24,10.3750,1.1069
rw_b1r10,20,30,30,458.497247,55.191505,91500,102500,464,30,15.4667,29.6442
rw_b1r10,22,27,27,2.067236,38.597116,828,41363,187,59,3.1695,0.6522
rw_b1r1,0,7,26,5.840268,17.246258,7178,28097,96,54,1.7778,3.2852
rw_b1r1,1,8,29,2.745479,28.950902,2865,40190,100,77,1.2987,2.1140
rw_b1r1,2,11,43,124.480441,14.717556,40500,29000,163,61,2.6721,46.5847
rw_b1r1,4,12,37,329.513633,97.530034,110000,111500,147,97,1.5155,217.4342
rw_b1r1,6,45,45,1061.981193,278.602492,82500,64500,1034,45,22.9778,46.2178
rw_b1r1,12,22,22,43.054855,274.345970,16172,222500,249,24,10.3750,4.1499
rw_b1r1,14,25,25,316.327185,194.436265,99411,178500,246,35,7.0286,45.0059
rw_b1r1,15,10,10,0.079418,1.840721,127,7993,54,10,5.4000,0.0147
rw_b1r1,18,22,22,43.187268,274.480164,16172,222500,249,24,10.3750,4.1626
rw_b1r1,20,30,30,194.772551,20.579005,38500,38000,464,30,15.4667,12.5931
rw_b1r1,22,27,27,18.991055,86.495733,7986,93474,187,59,3.1695,5.9918
rw_b1r5,0,7,26,0.135645,0.323235,153,371,96,54,1.7778,0.0763
rw_b1r5,1,8,29,1.625292,1.107107,1636,1499,100,77,1.2987,1.2515
rw_b1r5,2,11,43,318.910996,40.463233,121500,77000,163,61,2.6721,119.3471
rw_b1r5,4,12,37,977.076397,378.883168,330000,421500,147,97,1.5155,644.7375
rw_b1r5,6,45,45,3074.008051,1005.434758,237000,235500,1034,45,22.9778,133.7818
rw_b1r5,12,22,22,36.519847,524.255835,13255,419084,249,24,10.3750,3.5200
rw_b1r5,14,25,25,469.276512,509.127719,143675,500000,246,35,7.0286,66.7670
rw_b1r5,15,10,10,0.099160,5.265543,150,22284,54,10,5.4000,0.0184
rw_b1r5,18,22,22,36.264436,520.562505,13255,419084,249,24,10.3750,3.4954
rw_b1r5,20,30,30,324.118183,37.094572,64000,68500,464,30,15.4667,20.9559
rw_b1r5,22,27,27,10.938444,93.731527,4425,100395,187,59,3.1695,3.4512
