tag,network_id,n_controls,total_Q,rho,samples,GR_GR,GR_GI,GR_GR_over_GR_GI
b1r10,25,31,129,10.0,1,0.00009624,0.92114914,0.00010448
b1r10,26,41,111,10.0,1,0.00009100,0.99835202,0.00009115
b1r10,27,43,150,10.0,1,0.00001101,0.00086807,0.01268331
b1r10,28,44,144,10.0,1,0.00004549,0.99994685,0.00004549
b1r10,29,38,148,10.0,1,0.00695718,0.01298147,0.53593160
b1r10,30,44,100,10.0,1,0.00003006,0.29245481,0.00010279
b1r10,31,35,150,10.0,1,0.00003326,0.99107512,0.00003356
b1r10,32,43,102,10.0,1,0.00005961,0.99757329,0.00005976
b1r10,33,37,122,10.0,1,0.00005416,0.99847085,0.00005424
b1r10,34,32,117,10.0,1,0.00009746,0.98569579,0.00009887
b1r10,35,42,133,10.0,1,0.08373337,0.08168468,1.02508047
b1r10,36,31,113,10.0,1,0.00008327,0.54912241,0.00015164
b1r10,37,41,116,10.0,1,0.00008141,0.01044584,0.00779353
b1r10,38,42,126,10.0,1,0.00002468,0.02240776,0.00110140
b1r10,39,13,42,10.0,1,0.00003586,0.00077071,0.04652853
b1r10,40,14,45,10.0,1,0.00010575,0.83588287,0.00012651
b1r10,41,12,30,10.0,1,0.00001394,0.03302480,0.00042211
b1r10,42,14,36,10.0,1,0.00004604,0.10140936,0.00045400
b1r10,43,15,45,10.0,1,0.00007825,0.93777175,0.00008344
b1r5,0,13,46,5.0,1,0.00238658,0.00644326,0.37039946
b1r5,1,14,45,5.0,1,0.00475905,0.75294582,0.00632057
b1r5,2,13,31,5.0,1,0.00651863,0.35122118,0.01855990
b1r5,3,12,43,5.0,1,0.00666142,0.99957499,0.00666425
b1r5,4,14,47,5.0,1,0.00593739,0.99691494,0.00595576
b1r5,5,15,39,5.0,1,0.00158182,0.00642965,0.24601961
b1r5,6,14,46,5.0,1,0.00426901,0.37834686,0.01128332
b1r5,7,12,31,5.0,1,0.00405756,0.03439036,0.11798539
b1r5,8,14,49,5.0,1,0.00415087,0.44574598,0.00931219
b1r5,9,10,23,5.0,1,0.00341281,0.07924325,0.04306752
b1r5,10,12,38,5.0,1,0.00675139,0.99974014,0.00675314
b1r5,11,11,36,5.0,1,0.00567449,0.84172759,0.00674148
b1r5,12,14,45,5.0,1,0.00266970,0.00495989,0.53825790
b1r5,13,12,35,5.0,1,0.00575920,0.98699258,0.00583510
b1r5,14,14,34,5.0,1,0.00204561,0.02093874,0.09769499
b1r5,15,14,45,5.0,1,0.00393876,0.02749867,0.14323456
b1r5,16,10,27,5.0,1,0.00409056,0.46654501,0.00876777
b1r5,17,12,37,5.0,1,0.00556582,0.77241742,0.00720572
b1r5,18,10,20,5.0,1,0.00579643,0.99963565,0.00579854
b1r5,19,10,32,5.0,1,0.01487415,0.02234135,0.66576774
b1r5,20,10,24,5.0,1,0.00677464,0.99662238,0.00679760
b1r5,21,11,25,5.0,1,0.00564022,0.99633695,0.00566096
b1r5,22,13,42,5.0,1,0.00548210,0.05465081,0.10031141
b1r5,23,14,37,5.0,1,0.00556927,0.00996586,0.55883486
b1r5,24,11,36,5.0,1,0.02830248,0.02831675,0.99949606
b1r5,25,31,129,5.0,1,0.00644614,0.93233044,0.00691401
b1r5,26,41,111,5.0,1,0.00663202,0.99843946,0.00664239
b1r5,27,43,150,5.0,1,0.00202060,0.02127551,0.09497305
b1r5,28,44,144,5.0,1,0.00674638,0.99996574,0.00674661
b1r5,29,38,148,5.0,1,0.04697231,0.06489972,0.72376753
b1r5,30,44,100,5.0,1,0.00449437,0.39619078,0.01134395
b1r5,31,35,150,5.0,1,0.00505046,0.99113526,0.00509563
b1r5,32,43,102,5.0,1,0.00678448,0.99842880,0.00679516
b1r5,33,37,122,5.0,1,0.00677841,0.99937607,0.00678264
b1r5,34,32,117,5.0,1,0.00682673,0.99929651,0.00683154
b1r5,35,42,133,5.0,1,0.14095360,0.13758456,1.02448705
b1r5,36,31,113,5.0,1,0.00507556,0.93149127,0.00544885
b1r5,37,41,116,5.0,1,0.00643408,0.06672914,0.09642084
b1r5,38,42,126,5.0,1,0.00149998,0.08867073,0.01691629
b1r5,39,13,42,5.0,1,0.00267700,0.02061952,0.12982843
b1r5,40,14,45,5.0,1,0.00666422,0.94536342,0.00704937
b1r5,41,12,30,5.0,1,0.00226786,0.06026082,0.03763407
b1r5,42,14,36,5.0,1,0.00233016,0.21725316,0.01072555
b1r5,43,15,45,5.0,1,0.00552935,0.97967860,0.00564404
rw_b10r1,0,7,26,1.0,10,0.31354165,0.36014808,0.87059092
rw_b10r1,1,8,29,1.0,10,0.35641934,0.38594296,0.92350263
rw_b10r1,2,11,43,1.0,10,0.36665026,0.99986934,0.36669817
rw_b10r1,3,11,11,1.0,10,0.00026461,0.00019225,1.37638492
rw_b10r1,4,12,37,1.0,10,0.31333313,0.96722033,0.32395218
rw_b10r1,5,18,18,1.0,10,0.00985973,0.01021797,0.96494020
rw_b10r1,6,45,45,1.0,10,0.32362330,0.87112863,0.37149887
rw_b10r1,7,25,25,1.0,10,0.00104021,0.00096452,1.07847427
rw_b10r1,8,9,9,1.0,10,0.00596195,0.00620365,0.96103907
rw_b10r1,9,27,27,1.0,10,0.01287842,0.01304375,0.98732496
rw_b10r1,10,6,6,1.0,10,0.00000000,0.00000072,0.00000000
rw_b10r1,11,21,21,1.0,10,0.01054703,0.00896988,1.17582732
rw_b10r1,12,22,22,1.0,10,0.11688957,0.11807521,0.98995860
rw_b10r1,13,53,53,1.0,10,0.00000000,0.00000000,nan
rw_b10r1,14,25,25,1.0,10,0.19926576,0.48763299,0.40863880
rw_b10r1,15,10,10,1.0,10,0.02246476,0.02132042,1.05367343
rw_b10r1,16,23,23,1.0,10,0.00209326,0.00214706,0.97494248
rw_b10r1,17,34,34,1.0,10,0.00122791,0.00174427,0.70396785
rw_b10r1,18,22,22,1.0,10,0.11688957,0.11807521,0.98995860
rw_b10r1,19,23,23,1.0,10,0.00216792,0.00285015,0.76063365
rw_b10r1,20,30,30,1.0,10,0.36836198,0.99992705,0.36838885
rw_b10r1,21,16,16,1.0,10,0.00838451,0.00845948,0.99113775
rw_b10r1,22,27,27,1.0,10,0.05964717,0.10894153,0.54751544
rw_b10r10,0,7,26,10.0,10,0.00011833,0.00043654,0.27106336
rw_b10r10,1,8,29,10.0,10,0.00008681,0.02050504,0.00423359
rw_b10r10,2,11,43,10.0,10,0.00004520,0.99967490,0.00004521
rw_b10r10,3,11,11,10.0,10,0.00002953,0.00001927,1.53243383
rw_b10r10,4,12,37,10.0,10,0.00003101,0.80931642,0.00003832
rw_b10r10,5,18,18,10.0,10,0.00135032,0.00304928,0.44283241
rw_b10r10,6,45,45,10.0,10,0.00007880,0.85210992,0.00009248
rw_b10r10,7,25,25,10.0,10,0.00046051,0.00027903,1.65039601
rw_b10r10,8,9,9,10.0,10,0.00117952,0.00120088,0.98221304
rw_b10r10,9,27,27,10.0,10,0.00554433,0.00582807,0.95131493
rw_b10r10,10,6,6,10.0,10,0.00000000,0.00000004,0.00000000
rw_b10r10,11,21,21,10.0,10,0.00079802,0.00064897,1.22967163
rw_b10r10,12,22,22,10.0,10,0.06001585,0.06088027,0.98580131
rw_b10r10,13,53,53,10.0,10,0.00000000,0.00000000,nan
rw_b10r10,14,25,25,10.0,10,0.00003194,0.38940491,0.00008202
rw_b10r10,15,10,10,10.0,10,0.00523971,0.00486421,1.07719650
rw_b10r10,16,23,23,10.0,10,0.00103756,0.00108005,0.96065923
rw_b10r10,17,34,34,10.0,10,0.00057061,0.00097089,0.58771849
rw_b10r10,18,22,22,10.0,10,0.06001585,0.06088027,0.98580131
rw_b10r10,19,23,23,10.0,10,0.00056026,0.00082887,0.67593229
rw_b10r10,20,30,30,10.0,10,0.00006464,0.99984763,0.00006465
rw_b10r10,21,16,16,10.0,10,0.00209599,0.00183211,1.14403065
rw_b10r10,22,27,27,10.0,10,0.00003916,0.02179541,0.00179671
rw_b10r5,0,7,26,5.0,10,0.00500497,0.01272070,0.39345083
rw_b10r5,1,8,29,5.0,10,0.00643444,0.07785544,0.08264599
rw_b10r5,2,11,43,5.0,10,0.00670241,0.99979470,0.00670379
rw_b10r5,3,11,11,5.0,10,0.00009470,0.00006625,1.42943396
rw_b10r5,4,12,37,5.0,10,0.00480033,0.83765686,0.00573066
rw_b10r5,5,18,18,5.0,10,0.00386763,0.00519278,0.74480914
rw_b10r5,6,45,45,5.0,10,0.00599247,0.86552422,0.00692352
rw_b10r5,7,25,25,5.0,10,0.00066475,0.00047842,1.38946950
rw_b10r5,8,9,9,5.0,10,0.00257475,0.00257327,1.00057514
rw_b10r5,9,27,27,5.0,10,0.00857337,0.00885610,0.96807511
rw_b10r5,10,6,6,5.0,10,0.00000000,0.00000019,0.00000000
rw_b10r5,11,21,21,5.0,10,0.00279075,0.00234973,1.18768965
rw_b10r5,12,22,22,5.0,10,0.08304008,0.08400229,0.98854543
rw_b10r5,13,53,53,5.0,10,0.00000000,0.00000000,nan
rw_b10r5,14,25,25,5.0,10,0.00369400,0.45719664,0.00807967
rw_b10r5,15,10,10,5.0,10,0.01093024,0.01027884,1.06337291
rw_b10r5,16,23,23,5.0,10,0.00149121,0.00153603,0.97082088
rw_b10r5,17,34,34,5.0,10,0.00085766,0.00131159,0.65390861
rw_b10r5,18,22,22,5.0,10,0.08304008,0.08400229,0.98854543
rw_b10r5,19,23,23,5.0,10,0.00105253,0.00148420,0.70915645
rw_b10r5,20,30,30,5.0,10,0.00678907,0.99989361,0.00678979
rw_b10r5,21,16,16,5.0,10,0.00384269,0.00362247,1.06079277
rw_b10r5,22,27,27,5.0,10,0.00114718,0.03518174,0.03260726
rw_b1r1,0,7,26,1.0,1,0.31346781,0.36050435,0.86952574
rw_b1r1,1,8,29,1.0,1,0.35643280,0.41070521,0.86785556
rw_b1r1,2,11,43,1.0,1,0.36676356,0.99990403,0.36679876
rw_b1r1,3,11,11,1.0,1,0.00026461,0.00019225,1.37638492
rw_b1r1,4,12,37,1.0,1,0.31323798,0.96757860,0.32373389
rw_b1r1,5,18,18,1.0,1,0.00985973,0.01021797,0.96494020
rw_b1r1,6,45,45,1.0,1,0.69961558,0.69903686,1.00082788
rw_b1r1,7,25,25,1.0,1,0.00104021,0.00096452,1.07847427
rw_b1r1,8,9,9,1.0,1,0.00596195,0.00620365,0.96103907
rw_b1r1,9,27,27,1.0,1,0.01287842,0.01304375,0.98732496
rw_b1r1,10,6,6,1.0,1,0.00000000,0.00000072,0.00000000
rw_b1r1,11,21,21,1.0,1,0.01054703,0.00896988,1.17582732
rw_b1r1,12,22,22,1.0,1,0.11688957,0.11807521,0.98995860
rw_b1r1,13,53,53,1.0,1,0.00000000,0.00000000,nan
rw_b1r1,14,25,25,1.0,1,0.47662811,0.47292093,1.00783890
rw_b1r1,15,10,10,1.0,1,0.02246476,0.02132042,1.05367343
rw_b1r1,16,23,23,1.0,1,0.00209326,0.00214706,0.97494248
rw_b1r1,17,34,34,1.0,1,0.00122791,0.00174427,0.70396785
rw_b1r1,18,22,22,1.0,1,0.11688957,0.11807521,0.98995860
rw_b1r1,19,23,23,1.0,1,0.00216792,0.00285015,0.76063365
rw_b1r1,20,30,30,1.0,1,0.36834246,0.99994056,0.36836436
rw_b1r1,21,16,16,1.0,1,0.00838451,0.00845948,0.99113775
rw_b1r1,22,27,27,1.0,1,0.11610095,0.14405213,0.80596483
rw_b1r10,0,7,26,10.0,1,0.00046444,0.00046200,1.00528139
rw_b1r10,1,8,29,10.0,1,0.01830037,0.01915408,0.95542934
rw_b1r10,2,11,43,10.0,1,0.00006529,0.99942423,0.00006533
rw_b1r10,3,11,11,10.0,1,0.00002953,0.00001927,1.53243383
rw_b1r10,4,12,37,10.0,1,0.00003144,0.81946760,0.00003837
rw_b1r10,5,18,18,10.0,1,0.00135032,0.00304928,0.44283241
rw_b1r10,6,45,45,10.0,1,0.23485583,0.23340543,1.00621408
rw_b1r10,7,25,25,10.0,1,0.00046051,0.00027903,1.65039601
rw_b1r10,8,9,9,10.0,1,0.00117952,0.00120088,0.98221304
rw_b1r10,9,27,27,10.0,1,0.00554433,0.00582807,0.95131493
rw_b1r10,10,6,6,10.0,1,0.00000000,0.00000004,0.00000000
rw_b1r10,11,21,21,10.0,1,0.00079802,0.00064897,1.22967163
rw_b1r10,12,22,22,10.0,1,0.06001585,0.06088027,0.98580131
rw_b1r10,13,53,53,10.0,1,0.00000000,0.00000000,nan
rw_b1r10,14,25,25,10.0,1,0.19545644,0.19378602,1.00861992
rw_b1r10,15,10,10,10.0,1,0.00523971,0.00486421,1.07719650
rw_b1r10,16,23,23,10.0,1,0.00103756,0.00108005,0.96065923
rw_b1r10,17,34,34,10.0,1,0.00057061,0.00097089,0.58771849
rw_b1r10,18,22,22,10.0,1,0.06001585,0.06088027,0.98580131
rw_b1r10,19,23,23,10.0,1,0.00056026,0.00082887,0.67593229
rw_b1r10,20,30,30,10.0,1,0.00007246,0.99987719,0.00007247
rw_b1r10,21,16,16,10.0,1,0.00209599,0.00183211,1.14403065
rw_b1r10,22,27,27,10.0,1,0.00915520,0.05713692,0.16023265
rw_b1r5,0,7,26,5.0,1,0.00485848,0.01212624,0.40065841
rw_b1r5,1,8,29,5.0,1,0.00641816,0.07810048,0.08217824
rw_b1r5,2,11,43,5.0,1,0.00676386,0.99977286,0.00676540
rw_b1r5,3,11,11,5.0,1,0.00009470,0.00006625,1.42943396
rw_b1r5,4,12,37,5.0,1,0.00483858,0.84774545,0.00570759
rw_b1r5,5,18,18,5.0,1,0.00386763,0.00519278,0.74480914
rw_b1r5,6,45,45,5.0,1,0.37969593,0.37804603,1.00436428
rw_b1r5,7,25,25,5.0,1,0.00066475,0.00047842,1.38946950
rw_b1r5,8,9,9,5.0,1,0.00257475,0.00257327,1.00057514
rw_b1r5,9,27,27,5.0,1,0.00857337,0.00885610,0.96807511
rw_b1r5,10,6,6,5.0,1,0.00000000,0.00000019,0.00000000
rw_b1r5,11,21,21,5.0,1,0.00279075,0.00234973,1.18768965
rw_b1r5,12,22,22,5.0,1,0.08304008,0.08400229,0.98854543
rw_b1r5,13,53,53,5.0,1,0.00000000,0.00000000,nan
rw_b1r5,14,25,25,5.0,1,0.30729573,0.30479250,1.00821290
rw_b1r5,15,10,10,5.0,1,0.01093024,0.01027884,1.06337291
rw_b1r5,16,23,23,5.0,1,0.00149121,0.00153603,0.97082088
rw_b1r5,17,34,34,5.0,1,0.00085766,0.00131159,0.65390861
rw_b1r5,18,22,22,5.0,1,0.08304008,0.08400229,0.98854543
rw_b1r5,19,23,23,5.0,1,0.00105253,0.00148420,0.70915645
rw_b1r5,20,30,30,5.0,1,0.00680346,0.99991290,0.00680405
rw_b1r5,21,16,16,5.0,1,0.00384269,0.00362247,1.06079277
rw_b1r5,22,27,27,5.0,1,0.03500105,0.09281014,0.37712528
