tag,network_id,n_controls,total_Q,rho,samples,GI_GI,GR_GI,GI_GI_over_GR_GI
b10r1,0,13,46,1.0,10,0.21348104,0.23975027,0.89043086
b10r1,1,14,45,1.0,10,0.52903072,0.82283910,0.64293338
b10r1,2,13,31,1.0,10,0.58295044,0.85161786,0.68452115
b10r1,3,12,43,1.0,10,0.74075590,0.99979660,0.74090660
b10r1,4,14,47,1.0,10,0.70848043,0.99797915,0.70991506
b10r1,5,15,39,1.0,10,0.11630847,0.14617066,0.79570326
b10r1,6,14,46,1.0,10,0.43781451,0.56062287,0.78094301
b10r1,7,12,31,1.0,10,0.24977874,0.24996830,0.99924166
b10r1,8,14,49,1.0,10,0.45748098,0.64087662,0.71383628
b10r1,9,10,23,1.0,10,0.25483237,0.51045178,0.49922908
b10r1,10,12,38,1.0,10,0.81577616,0.99987249,0.81588019
b10r1,11,11,36,1.0,10,0.53535774,0.91173607,0.58718500
b10r1,12,14,45,1.0,10,0.22614105,0.22616830,0.99987951
b10r1,13,12,35,1.0,10,0.67725245,0.99093500,0.68344791
b10r1,14,14,34,1.0,10,0.17535559,0.28727552,0.61040909
b10r1,15,14,45,1.0,10,0.26854039,0.34697967,0.77393696
b10r1,16,10,27,1.0,10,0.41581602,0.62495677,0.66535165
b10r1,17,12,37,1.0,10,0.52482876,0.96938537,0.54140363
b10r1,18,10,20,1.0,10,0.83078585,0.99986826,0.83089531
b10r1,19,10,32,1.0,10,0.08947768,0.17735682,0.50450656
b10r1,20,10,24,1.0,10,0.71737194,0.99801903,0.71879585
b10r1,21,11,25,1.0,10,0.66404094,0.99751175,0.66569736
b10r1,22,13,42,1.0,10,0.34043561,0.58482344,0.58211690
b10r1,23,14,37,1.0,10,0.08206516,0.11087249,0.74017603
b10r1,24,11,36,1.0,10,0.11061870,0.14465577,0.76470299
b10r1,25,31,129,1.0,10,0.57461910,0.94849903,0.60581939
b10r1,26,41,111,1.0,10,0.74259083,0.99955134,0.74292415
b10r1,27,43,150,1.0,10,0.20192810,0.26694786,0.75643274
b10r1,28,44,144,1.0,10,0.84996385,0.99997148,0.84998809
b10r1,29,38,148,1.0,10,0.09539335,0.09537527,1.00018957
b10r1,30,44,100,1.0,10,0.42692044,0.80259183,0.53192722
b10r1,31,35,150,1.0,10,0.65631493,0.99394147,0.66031547
b10r1,32,43,102,1.0,10,0.75275595,0.99894425,0.75355151
b10r1,33,37,122,1.0,10,0.72333073,0.99963558,0.72359442
b10r1,34,32,117,1.0,10,0.74817756,0.99980113,0.74832638
b10r1,35,42,133,1.0,10,0.07797709,0.12971957,0.60112048
b10r1,36,31,113,1.0,10,0.55492029,0.98059878,0.56589943
b10r1,37,41,116,1.0,10,0.53473497,0.80066489,0.66786364
b10r1,38,42,126,1.0,10,0.17942186,0.43065154,0.41662886
b10r1,39,13,42,1.0,10,0.21208583,0.26715567,0.79386610
b10r1,40,14,45,1.0,10,0.62663744,0.99118894,0.63220786
b10r1,41,12,30,1.0,10,0.35669159,0.47073815,0.75772824
b10r1,42,14,36,1.0,10,0.34232766,0.58336220,0.58681838
b10r1,43,15,45,1.0,10,0.64566744,0.98952112,0.65250496
b10r10,0,13,46,10.0,10,0.00004637,0.00025827,0.17954079
b10r10,1,14,45,10.0,10,0.01343563,0.73334193,0.01832110
b10r10,2,13,31,10.0,10,0.01722821,0.25566036,0.06738710
b10r10,3,12,43,10.0,10,0.08585123,0.99936927,0.08590541
b10r10,4,14,47,10.0,10,0.05556862,0.99603067,0.05579007
b10r10,5,15,39,10.0,10,0.00006068,0.00028676,0.21160552
b10r10,6,14,46,10.0,10,0.00343132,0.36850745,0.00931140
b10r10,7,12,31,10.0,10,0.00003880,0.00927818,0.00418185
b10r10,8,14,49,10.0,10,0.00354536,0.40172809,0.00882527
b10r10,9,10,23,10.0,10,0.00007414,0.00454791,0.01630199
b10r10,10,12,38,10.0,10,0.15660243,0.99940164,0.15669619
b10r10,11,11,36,10.0,10,0.00478197,0.83449661,0.00573036
b10r10,12,14,45,10.0,10,0.00005964,0.00043026,0.13861386
b10r10,13,12,35,10.0,10,0.04985858,0.98565306,0.05058431
b10r10,14,14,34,10.0,10,0.00006722,0.00112887,0.05954627
b10r10,15,14,45,10.0,10,0.00006038,0.02017848,0.00299230
b10r10,16,10,27,10.0,10,0.00286583,0.42757675,0.00670249
b10r10,17,12,37,10.0,10,0.00485183,0.71452096,0.00679033
b10r10,18,10,20,10.0,10,0.19099826,0.99886416,0.19121545
b10r10,19,10,32,10.0,10,0.00009078,0.01269640,0.00715006
b10r10,20,10,24,10.0,10,0.05695253,0.99645325,0.05715525
b10r10,21,11,25,10.0,10,0.03880488,0.99604446,0.03895898
b10r10,22,13,42,10.0,10,0.00008791,0.02134233,0.00411904
b10r10,23,14,37,10.0,10,0.00003074,0.00051823,0.05931729
b10r10,24,11,36,10.0,10,0.00004474,0.00450064,0.00994081
b10r10,25,31,129,10.0,10,0.01763778,0.92747116,0.01901707
b10r10,26,41,111,10.0,10,0.09409528,0.98900566,0.09514130
b10r10,27,43,150,10.0,10,0.00005153,0.00113118,0.04555420
b10r10,28,44,144,10.0,10,0.22952456,0.99994685,0.22953676
b10r10,29,38,148,10.0,10,0.00004235,0.00031714,0.13353724
b10r10,30,44,100,10.0,10,0.00305175,0.27867234,0.01095103
b10r10,31,35,150,10.0,10,0.02457411,0.99046716,0.02481063
b10r10,32,43,102,10.0,10,0.10939898,0.99787313,0.10963215
b10r10,33,37,122,10.0,10,0.05969481,0.99695491,0.05987714
b10r10,34,32,117,10.0,10,0.06792799,0.99723183,0.06811655
b10r10,35,42,133,10.0,10,0.00004647,0.00137412,0.03381801
b10r10,36,31,113,10.0,10,0.00489145,0.52263681,0.00935918
b10r10,37,41,116,10.0,10,0.00504515,0.01357717,0.37159069
b10r10,38,42,126,10.0,10,0.00008776,0.02708094,0.00324066
b10r10,39,13,42,10.0,10,0.00005122,0.00309010,0.01657552
b10r10,40,14,45,10.0,10,0.02168020,0.84470682,0.02566595
b10r10,41,12,30,10.0,10,0.00170304,0.00910335,0.18707838
b10r10,42,14,36,10.0,10,0.00206232,0.03046057,0.06770458
b10r10,43,15,45,10.0,10,0.02543174,0.97288603,0.02614051
b10r5,0,13,46,5.0,10,0.00248914,0.00834954,0.29811702
b10r5,1,14,45,5.0,10,0.08985923,0.75386195,0.11919852
b10r5,2,13,31,5.0,10,0.10725374,0.35562682,0.30159070
b10r5,3,12,43,5.0,10,0.26290422,0.99961365,0.26300583
b10r5,4,14,47,5.0,10,0.21315144,0.99691470,0.21381111
b10r5,5,15,39,5.0,10,0.00184023,0.00815689,0.22560437
b10r5,6,14,46,5.0,10,0.04293487,0.39522951,0.10863275
b10r5,7,12,31,5.0,10,0.00397976,0.02457268,0.16195873
b10r5,8,14,49,5.0,10,0.04561043,0.43250548,0.10545631
b10r5,9,10,23,5.0,10,0.00453538,0.04504976,0.10067490
b10r5,10,12,38,5.0,10,0.38055235,0.99974000,0.38065132
b10r5,11,11,36,5.0,10,0.06072785,0.84530895,0.07184101
b10r5,12,14,45,5.0,10,0.00261370,0.00523048,0.49970557
b10r5,13,12,35,5.0,10,0.19095776,0.98699604,0.19347368
b10r5,14,14,34,5.0,10,0.00261157,0.01383262,0.18879793
b10r5,15,14,45,5.0,10,0.00420689,0.05284768,0.07960406
b10r5,16,10,27,5.0,10,0.03924344,0.45403091,0.08643341
b10r5,17,12,37,5.0,10,0.06102762,0.74495688,0.08192101
b10r5,18,10,20,5.0,10,0.41861627,0.99963524,0.41876902
b10r5,19,10,32,5.0,10,0.00173074,0.08473670,0.02042492
b10r5,20,10,24,5.0,10,0.21926585,0.99692593,0.21994197
b10r5,21,11,25,5.0,10,0.16621895,0.99629452,0.16683716
b10r5,22,13,42,5.0,10,0.00609581,0.10921150,0.05581656
b10r5,23,14,37,5.0,10,0.00115485,0.00699807,0.16502407
b10r5,24,11,36,5.0,10,0.00195140,0.03359382,0.05808807
b10r5,25,31,129,5.0,10,0.10537914,0.93248428,0.11300903
b10r5,26,41,111,5.0,10,0.27387882,0.99834218,0.27433362
b10r5,27,43,150,5.0,10,0.00250432,0.02054789,0.12187723
b10r5,28,44,144,5.0,10,0.46271246,0.99996574,0.46272831
b10r5,29,38,148,5.0,10,0.00097181,0.00314588,0.30891515
b10r5,30,44,100,5.0,10,0.04120593,0.34605727,0.11907257
b10r5,31,35,150,5.0,10,0.14286502,0.99110914,0.14414661
b10r5,32,43,102,5.0,10,0.29205047,0.99845490,0.29250242
b10r5,33,37,122,5.0,10,0.22597190,0.99926766,0.22613751
b10r5,34,32,117,5.0,10,0.24967727,0.99953473,0.24979349
b10r5,35,42,133,5.0,10,0.00142460,0.01725549,0.08255923
b10r5,36,31,113,5.0,10,0.06379922,0.93322080,0.06836455
b10r5,37,41,116,5.0,10,0.06275993,0.06598305,0.95115230
b10r5,38,42,126,5.0,10,0.00301820,0.09307785,0.03242662
b10r5,39,13,42,5.0,10,0.00348955,0.02111344,0.16527624
b10r5,40,14,45,5.0,10,0.12877287,0.95502638,0.13483698
b10r5,41,12,30,5.0,10,0.02716372,0.04350543,0.62437539
b10r5,42,14,36,5.0,10,0.02895606,0.19170806,0.15104248
b10r5,43,15,45,5.0,10,0.14210373,0.98045031,0.14493721
b1r1,0,13,46,1.0,1,0.21348104,0.23974596,0.89044687
b1r1,1,14,45,1.0,1,0.52903072,0.82286239,0.64291518
b1r1,2,13,31,1.0,1,0.58295044,0.79077233,0.73719125
b1r1,3,12,43,1.0,1,0.74075590,0.99984532,0.74087050
b1r1,4,14,47,1.0,1,0.70848043,0.99799271,0.70990542
b1r1,5,15,39,1.0,1,0.11630847,0.15158827,0.76726563
b1r1,6,14,46,1.0,1,0.43781451,0.56114083,0.78022216
b1r1,7,12,31,1.0,1,0.24977874,0.24995505,0.99929463
b1r1,8,14,49,1.0,1,0.45748098,0.64030534,0.71447316
b1r1,9,10,23,1.0,1,0.25483237,0.50926386,0.50039359
b1r1,10,12,38,1.0,1,0.81577616,0.99988466,0.81587026
b1r1,11,11,36,1.0,1,0.53535774,0.90929527,0.58876116
b1r1,12,14,45,1.0,1,0.22614105,0.22581776,1.00143164
b1r1,13,12,35,1.0,1,0.67725245,0.99096153,0.68342961
b1r1,14,14,34,1.0,1,0.17535559,0.28777447,0.60935075
b1r1,15,14,45,1.0,1,0.26854039,0.34610382,0.77589548
b1r1,16,10,27,1.0,1,0.41581602,0.62552861,0.66474341
b1r1,17,12,37,1.0,1,0.52482876,0.97128225,0.54034629
b1r1,18,10,20,1.0,1,0.83078585,0.99987385,0.83089067
b1r1,19,10,32,1.0,1,0.08947768,0.14619994,0.61202269
b1r1,20,10,24,1.0,1,0.71737194,0.99810966,0.71873059
b1r1,21,11,25,1.0,1,0.66404094,0.99756620,0.66566103
b1r1,22,13,42,1.0,1,0.34043561,0.58216131,0.58477883
b1r1,23,14,37,1.0,1,0.08206516,0.13345136,0.61494435
b1r1,24,11,36,1.0,1,0.11061870,0.21171519,0.52248825
b1r1,25,31,129,1.0,1,0.57461910,0.94846936,0.60583834
b1r1,26,41,111,1.0,1,0.74259083,0.99950549,0.74295823
b1r1,27,43,150,1.0,1,0.20192810,0.26702894,0.75620305
b1r1,28,44,144,1.0,1,0.84996385,0.99997148,0.84998809
b1r1,29,38,148,1.0,1,0.09539335,0.24688838,0.38638250
b1r1,30,44,100,1.0,1,0.42692044,0.80353148,0.53130518
b1r1,31,35,150,1.0,1,0.65631493,0.99396763,0.66029809
b1r1,32,43,102,1.0,1,0.75275595,0.99895788,0.75354123
b1r1,33,37,122,1.0,1,0.72333073,0.99970895,0.72354132
b1r1,34,32,117,1.0,1,0.74817756,0.99984447,0.74829394
b1r1,35,42,133,1.0,1,0.07797709,0.20985636,0.37157363
b1r1,36,31,113,1.0,1,0.55492029,0.98117545,0.56556683
b1r1,37,41,116,1.0,1,0.53473497,0.79408781,0.67339526
b1r1,38,42,126,1.0,1,0.17942186,0.43048608,0.41678899
b1r1,39,13,42,1.0,1,0.21208583,0.26704113,0.79420661
b1r1,40,14,45,1.0,1,0.62663744,0.99295980,0.63108037
b1r1,41,12,30,1.0,1,0.35669159,0.48001341,0.74308672
b1r1,42,14,36,1.0,1,0.34232766,0.58304631,0.58713631
b1r1,43,15,45,1.0,1,0.64566744,0.98948127,0.65253124
b1r10,0,13,46,10.0,1,0.00004637,0.00014233,0.32579217
b1r10,1,14,45,10.0,1,0.01343563,0.50353243,0.02668275
b1r10,2,13,31,10.0,1,0.01722821,0.18866708,0.09131540
b1r10,3,12,43,10.0,1,0.08585123,0.99843397,0.08598589
b1r10,4,14,47,10.0,1,0.05556862,0.99603067,0.05579007
b1r10,5,15,39,10.0,1,0.00006068,0.00027730,0.21882438
b1r10,6,14,46,10.0,1,0.00343132,0.33453782,0.01025690
b1r10,7,12,31,10.0,1,0.00003880,0.02702094,0.00143592
b1r10,8,14,49,10.0,1,0.00354536,0.41764120,0.00848901
b1r10,9,10,23,10.0,1,0.00007414,0.05735739,0.00129260
b1r10,10,12,38,10.0,1,0.15660243,0.99940164,0.15669619
b1r10,11,11,36,10.0,1,0.00478197,0.83468840,0.00572905
b1r10,12,14,45,10.0,1,0.00005964,0.00092774,0.06428525
b1r10,13,12,35,10.0,1,0.04985858,0.98565306,0.05058431
b1r10,14,14,34,10.0,1,0.00006722,0.00671044,0.01001723
b1r10,15,14,45,10.0,1,0.00006038,0.00402347,0.01500695
b1r10,16,10,27,10.0,1,0.00286583,0.44169208,0.00648830
b1r10,17,12,37,10.0,1,0.00485183,0.72479184,0.00669410
b1r10,18,10,20,10.0,1,0.19099826,0.99886416,0.19121545
b1r10,19,10,32,10.0,1,0.00009078,0.00250786,0.03619819
b1r10,20,10,24,10.0,1,0.05695253,0.98937531,0.05756413
b1r10,21,11,25,10.0,1,0.03880488,0.99595734,0.03896239
b1r10,22,13,42,10.0,1,0.00008791,0.00278019,0.03162014
b1r10,23,14,37,10.0,1,0.00003074,0.00051823,0.05931729
b1r10,24,11,36,10.0,1,0.00004474,0.00251438,0.01779365
