tag,network_id,n_controls,total_Q,rho,samples,GI_GI,GR_GI,GI_GI_over_GR_GI
b1r10,25,31,129,10.0,1,0.01763778,0.92114914,0.01914758
b1r10,26,41,111,10.0,1,0.09409528,0.99835202,0.09425060
b1r10,27,43,150,10.0,1,0.00005153,0.00086807,0.05936157
b1r10,28,44,144,10.0,1,0.22952456,0.99994685,0.22953676
b1r10,29,38,148,10.0,1,0.00004235,0.01298147,0.00326234
b1r10,30,44,100,10.0,1,0.00305175,0.29245481,0.01043495
b1r10,31,35,150,10.0,1,0.02457411,0.99107512,0.02479541
b1r10,32,43,102,10.0,1,0.10939898,0.99757329,0.10966511
b1r10,33,37,122,10.0,1,0.05969481,0.99847085,0.05978623
b1r10,34,32,117,10.0,1,0.06792799,0.98569579,0.06891375
b1r10,35,42,133,10.0,1,0.00004647,0.08168468,0.00056889
b1r10,36,31,113,10.0,1,0.00489145,0.54912241,0.00890776
b1r10,37,41,116,10.0,1,0.00504515,0.01044584,0.48298174
b1r10,38,42,126,10.0,1,0.00008776,0.02240776,0.00391650
b1r10,39,13,42,10.0,1,0.00005122,0.00077071,0.06645820
b1r10,40,14,45,10.0,1,0.02168020,0.83588287,0.02593689
b1r10,41,12,30,10.0,1,0.00170304,0.03302480,0.05156852
b1r10,42,14,36,10.0,1,0.00206232,0.10140936,0.02033658
b1r10,43,15,45,10.0,1,0.02543174,0.93777175,0.02711933
b1r5,0,13,46,5.0,1,0.00248914,0.00644326,0.38631686
b1r5,1,14,45,5.0,1,0.08985923,0.75294582,0.11934355
b1r5,2,13,31,5.0,1,0.10725374,0.35122118,0.30537378
b1r5,3,12,43,5.0,1,0.26290422,0.99957499,0.26301600
b1r5,4,14,47,5.0,1,0.21315144,0.99691494,0.21381106
b1r5,5,15,39,5.0,1,0.00184023,0.00642965,0.28620998
b1r5,6,14,46,5.0,1,0.04293487,0.37834686,0.11348018
b1r5,7,12,31,5.0,1,0.00397976,0.03439036,0.11572313
b1r5,8,14,49,5.0,1,0.04561043,0.44574598,0.10232382
b1r5,9,10,23,5.0,1,0.00453538,0.07924325,0.05723364
b1r5,10,12,38,5.0,1,0.38055235,0.99974014,0.38065127
b1r5,11,11,36,5.0,1,0.06072785,0.84172759,0.07214668
b1r5,12,14,45,5.0,1,0.00261370,0.00495989,0.52696733
b1r5,13,12,35,5.0,1,0.19095776,0.98699258,0.19347436
b1r5,14,14,34,5.0,1,0.00261157,0.02093874,0.12472431
b1r5,15,14,45,5.0,1,0.00420689,0.02749867,0.15298522
b1r5,16,10,27,5.0,1,0.03924344,0.46654501,0.08411501
b1r5,17,12,37,5.0,1,0.06102762,0.77241742,0.07900860
b1r5,18,10,20,5.0,1,0.41861627,0.99963565,0.41876885
b1r5,19,10,32,5.0,1,0.00173074,0.02234135,0.07746801
b1r5,20,10,24,5.0,1,0.21926585,0.99662238,0.22000896
b1r5,21,11,25,5.0,1,0.16621895,0.99633695,0.16683006
b1r5,22,13,42,5.0,1,0.00609581,0.05465081,0.11154107
b1r5,23,14,37,5.0,1,0.00115485,0.00996586,0.11588062
b1r5,24,11,36,5.0,1,0.00195140,0.02831675,0.06891328
b1r5,25,31,129,5.0,1,0.10537914,0.93233044,0.11302767
b1r5,26,41,111,5.0,1,0.27387882,0.99843946,0.27430689
b1r5,27,43,150,5.0,1,0.00250432,0.02127551,0.11770905
b1r5,28,44,144,5.0,1,0.46271246,0.99996574,0.46272831
b1r5,29,38,148,5.0,1,0.00097181,0.06489972,0.01497402
b1r5,30,44,100,5.0,1,0.04120593,0.39619078,0.10400527
b1r5,31,35,150,5.0,1,0.14286502,0.99113526,0.14414281
b1r5,32,43,102,5.0,1,0.29205047,0.99842880,0.29251006
b1r5,33,37,122,5.0,1,0.22597190,0.99937607,0.22611298
b1r5,34,32,117,5.0,1,0.24967727,0.99929651,0.24985304
b1r5,35,42,133,5.0,1,0.00142460,0.13758456,0.01035436
b1r5,36,31,113,5.0,1,0.06379922,0.93149127,0.06849148
b1r5,37,41,116,5.0,1,0.06275993,0.06672914,0.94051759
b1r5,38,42,126,5.0,1,0.00301820,0.08867073,0.03403829
b1r5,39,13,42,5.0,1,0.00348955,0.02061952,0.16923527
b1r5,40,14,45,5.0,1,0.12877287,0.94536342,0.13621520
b1r5,41,12,30,5.0,1,0.02716372,0.06026082,0.45076917
b1r5,42,14,36,5.0,1,0.02895606,0.21725316,0.13328257
b1r5,43,15,45,5.0,1,0.14210373,0.97967860,0.14505138
rw_b10r1,0,7,26,1.0,10,0.31436895,0.36014808,0.87288804
rw_b10r1,1,8,29,1.0,10,0.35645606,0.38594296,0.92359778
rw_b10r1,2,11,43,1.0,10,0.87277769,0.99986934,0.87289174
rw_b10r1,3,11,11,1.0,10,0.00019225,0.00019225,1.00000000
rw_b10r1,4,12,37,1.0,10,0.66979349,0.96722033,0.69249319
rw_b10r1,5,18,18,1.0,10,0.00764712,0.01021797,0.74839914
rw_b10r1,6,45,45,1.0,10,0.63979517,0.87112863,0.73444397
rw_b10r1,7,25,25,1.0,10,0.00096452,0.00096452,1.00000000
rw_b10r1,8,9,9,1.0,10,0.00501999,0.00620365,0.80919942
rw_b10r1,9,27,27,1.0,10,0.00875434,0.01304375,0.67115208
rw_b10r1,10,6,6,1.0,10,0.00000072,0.00000072,1.00000000
rw_b10r1,11,21,21,1.0,10,0.00795283,0.00896988,0.88661498
rw_b10r1,12,22,22,1.0,10,0.07157843,0.11807521,0.60621048
rw_b10r1,13,53,53,1.0,10,0.00000000,0.00000000,nan
rw_b10r1,14,25,25,1.0,10,0.33384371,0.48763299,0.68462085
rw_b10r1,15,10,10,1.0,10,0.01490248,0.02132042,0.69897685
rw_b10r1,16,23,23,1.0,10,0.00158909,0.00214706,0.74012370
rw_b10r1,17,34,34,1.0,10,0.00134391,0.00174427,0.77047131
rw_b10r1,18,22,22,1.0,10,0.07157843,0.11807521,0.60621048
rw_b10r1,19,23,23,1.0,10,0.00247668,0.00285015,0.86896479
rw_b10r1,20,30,30,1.0,10,0.91848097,0.99992705,0.91854798
rw_b10r1,21,16,16,1.0,10,0.00711151,0.00845948,0.84065569
rw_b10r1,22,27,27,1.0,10,0.08594194,0.10894153,0.78888134
rw_b10r10,0,7,26,10.0,10,0.00004630,0.00043654,0.10606130
rw_b10r10,1,8,29,10.0,10,0.00004944,0.02050504,0.00241111
rw_b10r10,2,11,43,10.0,10,0.28319916,0.99967490,0.28329126
rw_b10r10,3,11,11,10.0,10,0.00001927,0.00001927,1.00000000
rw_b10r10,4,12,37,10.0,10,0.06197919,0.80931642,0.07658215
rw_b10r10,5,18,18,10.0,10,0.00072194,0.00304928,0.23675753
rw_b10r10,6,45,45,10.0,10,0.15330231,0.85210992,0.17990908
rw_b10r10,7,25,25,10.0,10,0.00015166,0.00027903,0.54352579
rw_b10r10,8,9,9,10.0,10,0.00043560,0.00120088,0.36273400
rw_b10r10,9,27,27,10.0,10,0.00067060,0.00582807,0.11506382
rw_b10r10,10,6,6,10.0,10,0.00000004,0.00000004,1.00000000
rw_b10r10,11,21,21,10.0,10,0.00034478,0.00064897,0.53127263
rw_b10r10,12,22,22,10.0,10,0.00540647,0.06088027,0.08880496
rw_b10r10,13,53,53,10.0,10,0.00000000,0.00000000,nan
rw_b10r10,14,25,25,10.0,10,0.03354951,0.38940491,0.08615585
rw_b10r10,15,10,10,10.0,10,0.00070527,0.00486421,0.14499168
rw_b10r10,16,23,23,10.0,10,0.00013174,0.00108005,0.12197583
rw_b10r10,17,34,34,10.0,10,0.00015465,0.00097089,0.15928684
rw_b10r10,18,22,22,10.0,10,0.00540647,0.06088027,0.08880496
rw_b10r10,19,23,23,10.0,10,0.00033142,0.00082887,0.39984557
rw_b10r10,20,30,30,10.0,10,0.49086237,0.99984763,0.49093717
rw_b10r10,21,16,16,10.0,10,0.00083861,0.00183211,0.45772907
rw_b10r10,22,27,27,10.0,10,0.00358049,0.02179541,0.16427725
rw_b10r5,0,7,26,5.0,10,0.00509859,0.01272070,0.40081049
rw_b10r5,1,8,29,5.0,10,0.00645532,0.07785544,0.08291418
rw_b10r5,2,11,43,5.0,10,0.52004362,0.99979470,0.52015041
rw_b10r5,3,11,11,5.0,10,0.00006625,0.00006625,1.00000000
rw_b10r5,4,12,37,5.0,10,0.20244688,0.83765686,0.24168235
rw_b10r5,5,18,18,5.0,10,0.00191803,0.00519278,0.36936477
rw_b10r5,6,45,45,5.0,10,0.27815546,0.86552422,0.32137224
rw_b10r5,7,25,25,5.0,10,0.00031179,0.00047842,0.65170770
rw_b10r5,8,9,9,5.0,10,0.00119132,0.00257327,0.46295958
rw_b10r5,9,27,27,5.0,10,0.00204389,0.00885610,0.23078895
rw_b10r5,10,6,6,5.0,10,0.00000019,0.00000019,1.00000000
rw_b10r5,11,21,21,5.0,10,0.00141834,0.00234973,0.60361829
rw_b10r5,12,22,22,5.0,10,0.01493231,0.08400229,0.17776075
rw_b10r5,13,53,53,5.0,10,0.00000000,0.00000000,nan
rw_b10r5,14,25,25,5.0,10,0.09092665,0.45719664,0.19887865
rw_b10r5,15,10,10,5.0,10,0.00286172,0.01027884,0.27840885
rw_b10r5,16,23,23,5.0,10,0.00036636,0.00153603,0.23851097
rw_b10r5,17,34,34,5.0,10,0.00037971,0.00131159,0.28950358
rw_b10r5,18,22,22,5.0,10,0.01493231,0.08400229,0.17776075
rw_b10r5,19,23,23,5.0,10,0.00074716,0.00148420,0.50340924
rw_b10r5,20,30,30,5.0,10,0.67776310,0.99989361,0.67783521
rw_b10r5,21,16,16,5.0,10,0.00199889,0.00362247,0.55180305
rw_b10r5,22,27,27,5.0,10,0.01421890,0.03518174,0.40415568
rw_b1r1,0,7,26,1.0,1,0.31436895,0.36050435,0.87202540
rw_b1r1,1,8,29,1.0,1,0.35645606,0.41070521,0.86791219
rw_b1r1,2,11,43,1.0,1,0.87277769,0.99990403,0.87286146
rw_b1r1,3,11,11,1.0,1,0.00019225,0.00019225,1.00000000
rw_b1r1,4,12,37,1.0,1,0.66979349,0.96757860,0.69223678
rw_b1r1,5,18,18,1.0,1,0.00764712,0.01021797,0.74839914
rw_b1r1,6,45,45,1.0,1,0.63979517,0.69903686,0.91525241
rw_b1r1,7,25,25,1.0,1,0.00096452,0.00096452,1.00000000
rw_b1r1,8,9,9,1.0,1,0.00501999,0.00620365,0.80919942
rw_b1r1,9,27,27,1.0,1,0.00875434,0.01304375,0.67115208
rw_b1r1,10,6,6,1.0,1,0.00000072,0.00000072,1.00000000
rw_b1r1,11,21,21,1.0,1,0.00795283,0.00896988,0.88661498
rw_b1r1,12,22,22,1.0,1,0.07157843,0.11807521,0.60621048
rw_b1r1,13,53,53,1.0,1,0.00000000,0.00000000,nan
rw_b1r1,14,25,25,1.0,1,0.33384371,0.47292093,0.70591866
rw_b1r1,15,10,10,1.0,1,0.01490248,0.02132042,0.69897685
rw_b1r1,16,23,23,1.0,1,0.00158909,0.00214706,0.74012370
rw_b1r1,17,34,34,1.0,1,0.00134391,0.00174427,0.77047131
rw_b1r1,18,22,22,1.0,1,0.07157843,0.11807521,0.60621048
rw_b1r1,19,23,23,1.0,1,0.00247668,0.00285015,0.86896479
rw_b1r1,20,30,30,1.0,1,0.91848097,0.99994056,0.91853557
rw_b1r1,21,16,16,1.0,1,0.00711151,0.00845948,0.84065569
rw_b1r1,22,27,27,1.0,1,0.08594194,0.14405213,0.59660305
rw_b1r10,0,7,26,10.0,1,0.00004630,0.00046200,0.10021645
rw_b1r10,1,8,29,10.0,1,0.00004944,0.01915408,0.00258117
rw_b1r10,2,11,43,10.0,1,0.28319916,0.99942423,0.28336231
rw_b1r10,3,11,11,10.0,1,0.00001927,0.00001927,1.00000000
rw_b1r10,4,12,37,10.0,1,0.06197919,0.81946760,0.07563348
rw_b1r10,5,18,18,10.0,1,0.00072194,0.00304928,0.23675753
rw_b1r10,6,45,45,10.0,1,0.15330231,0.23340543,0.65680696
rw_b1r10,7,25,25,10.0,1,0.00015166,0.00027903,0.54352579
rw_b1r10,8,9,9,10.0,1,0.00043560,0.00120088,0.36273400
rw_b1r10,9,27,27,10.0,1,0.00067060,0.00582807,0.11506382
rw_b1r10,10,6,6,10.0,1,0.00000004,0.00000004,1.00000000
rw_b1r10,11,21,21,10.0,1,0.00034478,0.00064897,0.53127263
rw_b1r10,12,22,22,10.0,1,0.00540647,0.06088027,0.08880496
rw_b1r10,13,53,53,10.0,1,0.00000000,0.00000000,nan
rw_b1r10,14,25,25,10.0,1,0.03354951,0.19378602,0.17312658
rw_b1r10,15,10,10,10.0,1,0.00070527,0.00486421,0.14499168
rw_b1r10,16,23,23,10.0,1,0.00013174,0.00108005,0.12197583
rw_b1r10,17,34,34,10.0,1,0.00015465,0.00097089,0.15928684
rw_b1r10,18,22,22,10.0,1,0.00540647,0.06088027,0.08880496
rw_b1r10,19,23,23,10.0,1,0.00033142,0.00082887,0.39984557
rw_b1r10,20,30,30,10.0,1,0.49086237,0.99987719,0.49092266
rw_b1r10,21,16,16,10.0,1,0.00083861,0.00183211,0.45772907
rw_b1r10,22,27,27,10.0,1,0.00358049,0.05713692,0.06266509
rw_b1r5,0,7,26,5.0,1,0.00509859,0.01212624,0.42045927
rw_b1r5,1,8,29,5.0,1,0.00645532,0.07810048,0.08265404
rw_b1r5,2,11,43,5.0,1,0.52004362,0.99977286,0.52016177
rw_b1r5,3,11,11,5.0,1,0.00006625,0.00006625,1.00000000
rw_b1r5,4,12,37,5.0,1,0.20244688,0.84774545,0.23880621
rw_b1r5,5,18,18,5.0,1,0.00191803,0.00519278,0.36936477
rw_b1r5,6,45,45,5.0,1,0.27815546,0.37804603,0.73577141
rw_b1r5,7,25,25,5.0,1,0.00031179,0.00047842,0.65170770
rw_b1r5,8,9,9,5.0,1,0.00119132,0.00257327,0.46295958
rw_b1r5,9,27,27,5.0,1,0.00204389,0.00885610,0.23078895
rw_b1r5,10,6,6,5.0,1,0.00000019,0.00000019,1.00000000
rw_b1r5,11,21,21,5.0,1,0.00141834,0.00234973,0.60361829
rw_b1r5,12,22,22,5.0,1,0.01493231,0.08400229,0.17776075
rw_b1r5,13,53,53,5.0,1,0.00000000,0.00000000,nan
rw_b1r5,14,25,25,5.0,1,0.09092665,0.30479250,0.29832312
rw_b1r5,15,10,10,5.0,1,0.00286172,0.01027884,0.27840885
rw_b1r5,16,23,23,5.0,1,0.00036636,0.00153603,0.23851097
rw_b1r5,17,34,34,5.0,1,0.00037971,0.00131159,0.28950358
rw_b1r5,18,22,22,5.0,1,0.01493231,0.08400229,0.17776075
rw_b1r5,19,23,23,5.0,1,0.00074716,0.00148420,0.50340924
rw_b1r5,20,30,30,5.0,1,0.67776310,0.99991290,0.67782214
rw_b1r5,21,16,16,5.0,1,0.00199889,0.00362247,0.55180305
rw_b1r5,22,27,27,5.0,1,0.01421890,0.09281014,0.15320416
