network_id,structure,n_controls,total_Q,depth,policy,exact_value,expected_reward,std_error,ci95_halfwidth,win_probability,mean_attempts,mean_attempts_given_win,mean_time,optimal_value,absolute_gap,relative_loss,num_samples,seed
0,"Ser(Ser(v0,v1),Ser(Ser(Ser(v2,v3),v4),v5))",6,9,4,index_policy,0.013305,0.012557,0.000558,0.001095,0.024750,2.241050,6.458586,0.236118,0.013305,-0.000000,-0.000000,20000,173879092
0,"Ser(Ser(v0,v1),Ser(Ser(Ser(v2,v3),v4),v5))",6,9,4,greedy_probability,0.013305,0.012557,0.000558,0.001095,0.024750,2.241050,6.458586,0.236118,0.013305,-0.000000,-0.000000,20000,173879092
0,"Ser(Ser(v0,v1),Ser(Ser(Ser(v2,v3),v4),v5))",6,9,4,greedy_discounted,0.013305,0.012557,0.000558,0.001095,0.024750,2.241050,6.458586,0.236118,0.013305,-0.000000,-0.000000,20000,173879092
0,"Ser(Ser(v0,v1),Ser(Ser(Ser(v2,v3),v4),v5))",6,9,4,uncoupled_index,0.013305,0.012557,0.000558,0.001095,0.024750,2.241050,6.458586,0.236118,0.013305,-0.000000,-0.000000,20000,173879092
0,"Ser(Ser(v0,v1),Ser(Ser(Ser(v2,v3),v4),v5))",6,9,4,single_route,0.013305,0.012557,0.000558,0.001095,0.024750,2.241050,6.458586,0.236118,0.013305,-0.000000,-0.000000,20000,173879092
0,"Ser(Ser(v0,v1),Ser(Ser(Ser(v2,v3),v4),v5))",6,9,4,fixed_priority,0.013305,0.012557,0.000558,0.001095,0.024750,2.241050,6.458586,0.236118,0.013305,-0.000000,-0.000000,20000,173879092
0,"Ser(Ser(v0,v1),Ser(Ser(Ser(v2,v3),v4),v5))",6,9,4,random_frontier,,0.012557,0.000558,0.001095,0.024750,2.241050,6.458586,0.236118,0.013305,0.000748,0.056208,20000,173879092
1,"Ser(Par(v0,v1),Par(Par(v2,Par(v3,v4)),Par(v5,v6)))",7,9,4,index_policy,0.770590,0.772781,0.000681,0.001335,0.989000,2.385400,2.364408,0.251327,0.770590,0.000000,0.000000,20000,1739178872
1,"Ser(Par(v0,v1),Par(Par(v2,Par(v3,v4)),Par(v5,v6)))",7,9,4,greedy_probability,0.770590,0.772781,0.000681,0.001335,0.989000,2.385400,2.364408,0.251327,0.770590,0.000000,0.000000,20000,1739178872
1,"Ser(Par(v0,v1),Par(Par(v2,Par(v3,v4)),Par(v5,v6)))",7,9,4,greedy_discounted,0.770590,0.772781,0.000681,0.001335,0.989000,2.385400,2.364408,0.251327,0.770590,0.000000,0.000000,20000,1739178872
1,"Ser(Par(v0,v1),Par(Par(v2,Par(v3,v4)),Par(v5,v6)))",7,9,4,uncoupled_index,0.770590,0.772781,0.000681,0.001335,0.989000,2.385400,2.364408,0.251327,0.770590,0.000000,0.000000,20000,1739178872
1,"Ser(Par(v0,v1),Par(Par(v2,Par(v3,v4)),Par(v5,v6)))",7,9,4,single_route,0.645310,0.650225,0.002129,0.004173,0.825400,2.357050,2.276048,0.248340,0.770590,0.125280,0.162577,20000,1739178872
1,"Ser(Par(v0,v1),Par(Par(v2,Par(v3,v4)),Par(v5,v6)))",7,9,4,fixed_priority,0.760164,0.762985,0.000728,0.001427,0.989900,2.532350,2.513436,0.266810,0.770590,0.010426,0.013530,20000,1739178872
1,"Ser(Par(v0,v1),Par(Par(v2,Par(v3,v4)),Par(v5,v6)))",7,9,4,random_frontier,,0.734949,0.000781,0.001531,0.988550,2.886850,2.870366,0.304160,0.770590,0.035641,0.046252,20000,1739178872
2,"Ser(Par(Par(v0,v1),v2),Par(v3,Par(v4,v5)))",6,10,3,index_policy,0.775986,0.777009,0.000609,0.001194,0.992400,2.373400,2.346886,0.250063,0.775986,-0.000000,-0.000000,20000,938204377
2,"Ser(Par(Par(v0,v1),v2),Par(v3,Par(v4,v5)))",6,10,3,greedy_probability,0.775986,0.777009,0.000609,0.001194,0.992400,2.373400,2.346886,0.250063,0.775986,-0.000000,-0.000000,20000,938204377
2,"Ser(Par(Par(v0,v1),v2),Par(v3,Par(v4,v5)))",6,10,3,greedy_discounted,0.775986,0.777009,0.000609,0.001194,0.992400,2.373400,2.346886,0.250063,0.775986,-0.000000,-0.000000,20000,938204377
2,"Ser(Par(Par(v0,v1),v2),Par(v3,Par(v4,v5)))",6,10,3,uncoupled_index,0.775986,0.777009,0.000609,0.001194,0.992400,2.373400,2.346886,0.250063,0.775986,-0.000000,-0.000000,20000,938204377
2,"Ser(Par(Par(v0,v1),v2),Par(v3,Par(v4,v5)))",6,10,3,single_route,0.710131,0.711937,0.001643,0.003220,0.906150,2.331900,2.302654,0.245690,0.775986,0.065855,0.084866,20000,938204377
2,"Ser(Par(Par(v0,v1),v2),Par(v3,Par(v4,v5)))",6,10,3,fixed_priority,0.687884,0.688970,0.000884,0.001732,0.991800,3.603200,3.583585,0.379635,0.775986,0.088102,0.113536,20000,938204377
2,"Ser(Par(Par(v0,v1),v2),Par(v3,Par(v4,v5)))",6,10,3,random_frontier,,0.730988,0.000770,0.001509,0.991500,2.989600,2.964750,0.314986,0.775986,0.044998,0.057988,20000,938204377
3,"Par(Ser(v0,Par(v1,v2)),Par(v3,v4))",5,6,3,index_policy,0.845270,0.846045,0.000972,0.001904,0.980450,1.512700,1.434239,0.159379,0.845270,0.000000,0.000000,20000,407295012
3,"Par(Ser(v0,Par(v1,v2)),Par(v3,v4))",5,6,3,greedy_probability,0.762037,0.762168,0.000869,0.001704,0.979700,2.472400,2.410330,0.260493,0.845270,0.083233,0.098469,20000,407295012
3,"Par(Ser(v0,Par(v1,v2)),Par(v3,v4))",5,6,3,greedy_discounted,0.762037,0.762168,0.000869,0.001704,0.979700,2.472400,2.410330,0.260493,0.845270,0.083233,0.098469,20000,407295012
3,"Par(Ser(v0,Par(v1,v2)),Par(v3,v4))",5,6,3,uncoupled_index,0.762037,0.762168,0.000869,0.001704,0.979700,2.472400,2.410330,0.260493,0.845270,0.083233,0.098469,20000,407295012
3,"Par(Ser(v0,Par(v1,v2)),Par(v3,v4))",5,6,3,single_route,0.788089,0.790839,0.001887,0.003699,0.899400,1.307500,1.230042,0.137759,0.845270,0.057182,0.067649,20000,407295012
3,"Par(Ser(v0,Par(v1,v2)),Par(v3,v4))",5,6,3,fixed_priority,0.709517,0.710283,0.000922,0.001808,0.979650,3.163300,3.115398,0.333287,0.845270,0.135754,0.160604,20000,407295012
3,"Par(Ser(v0,Par(v1,v2)),Par(v3,v4))",5,6,3,random_frontier,,0.795261,0.001048,0.002054,0.980700,2.131000,2.066585,0.224523,0.845270,0.050009,0.059163,20000,407295012
4,"Par(Par(Ser(v0,Ser(v1,v2)),Par(v3,v4)),Ser(v5,v6))",7,11,4,index_policy,0.847872,0.850087,0.001052,0.002061,0.980550,1.533400,1.420019,0.161560,0.847872,0.000000,0.000000,20000,1332073689
4,"Par(Par(Ser(v0,Ser(v1,v2)),Par(v3,v4)),Ser(v5,v6))",7,11,4,greedy_probability,0.759243,0.760224,0.000971,0.001904,0.979400,2.567650,2.470237,0.270529,0.847872,0.088628,0.104530,20000,1332073689
4,"Par(Par(Ser(v0,Ser(v1,v2)),Par(v3,v4)),Ser(v5,v6))",7,11,4,greedy_discounted,0.759243,0.760224,0.000971,0.001904,0.979400,2.567650,2.470237,0.270529,0.847872,0.088628,0.104530,20000,1332073689
4,"Par(Par(Ser(v0,Ser(v1,v2)),Par(v3,v4)),Ser(v5,v6))",7,11,4,uncoupled_index,0.759243,0.760224,0.000971,0.001904,0.979400,2.567650,2.470237,0.270529,0.847872,0.088628,0.104530,20000,1332073689
4,"Par(Par(Ser(v0,Ser(v1,v2)),Par(v3,v4)),Ser(v5,v6))",7,11,4,single_route,0.741780,0.741510,0.002424,0.004751,0.823900,1.000000,1.000000,0.105361,0.847872,0.106092,0.125127,20000,1332073689
4,"Par(Par(Ser(v0,Ser(v1,v2)),Par(v3,v4)),Ser(v5,v6))",7,11,4,fixed_priority,0.630078,0.630682,0.000904,0.001772,0.978450,4.328650,4.264858,0.456069,0.847872,0.217794,0.256871,20000,1332073689
4,"Par(Par(Ser(v0,Ser(v1,v2)),Par(v3,v4)),Ser(v5,v6))",7,11,4,random_frontier,,0.742412,0.001164,0.002281,0.980450,2.877550,2.791422,0.303180,0.847872,0.105460,0.124382,20000,1332073689
5,"Par(v0,Ser(v1,v2))",3,4,2,index_policy,0.757617,0.757212,0.002131,0.004176,0.867100,1.568200,1.309826,0.165226,0.757617,0.000000,0.000000,20000,2027837527
5,"Par(v0,Ser(v1,v2))",3,4,2,greedy_probability,0.757617,0.757212,0.002131,0.004176,0.867100,1.568200,1.309826,0.165226,0.757617,0.000000,0.000000,20000,2027837527
5,"Par(v0,Ser(v1,v2))",3,4,2,greedy_discounted,0.757617,0.757212,0.002131,0.004176,0.867100,1.568200,1.309826,0.165226,0.757617,0.000000,0.000000,20000,2027837527
5,"Par(v0,Ser(v1,v2))",3,4,2,uncoupled_index,0.757617,0.757212,0.002131,0.004176,0.867100,1.568200,1.309826,0.165226,0.757617,0.000000,0.000000,20000,2027837527
5,"Par(v0,Ser(v1,v2))",3,4,2,single_route,0.732945,0.730156,0.002378,0.004661,0.826250,1.323400,1.181120,0.139434,0.757617,0.024672,0.032565,20000,2027837527
5,"Par(v0,Ser(v1,v2))",3,4,2,fixed_priority,0.757617,0.757212,0.002131,0.004176,0.867100,1.568200,1.309826,0.165226,0.757617,0.000000,0.000000,20000,2027837527
5,"Par(v0,Ser(v1,v2))",3,4,2,random_frontier,,0.717880,0.002029,0.003977,0.868250,2.026350,1.839620,0.213497,0.757617,0.039737,0.052450,20000,2027837527
6,"Ser(v0,Par(Ser(v1,v2),Par(v3,v4)))",5,9,3,index_policy,0.602024,0.599058,0.002168,0.004249,0.800900,2.792000,2.814521,0.294167,0.602024,0.000000,0.000000,20000,1358054485
6,"Ser(v0,Par(Ser(v1,v2),Par(v3,v4)))",5,9,3,greedy_probability,0.601926,0.599748,0.002161,0.004235,0.802350,2.791800,2.819655,0.294145,0.602024,0.000098,0.000163,20000,1358054485
6,"Ser(v0,Par(Ser(v1,v2),Par(v3,v4)))",5,9,3,greedy_discounted,0.601926,0.599748,0.002161,0.004235,0.802350,2.791800,2.819655,0.294145,0.602024,0.000098,0.000163,20000,1358054485
6,"Ser(v0,Par(Ser(v1,v2),Par(v3,v4)))",5,9,3,uncoupled_index,0.601926,0.599748,0.002161,0.004235,0.802350,2.791800,2.819655,0.294145,0.602024,0.000098,0.000163,20000,1358054485
6,"Ser(v0,Par(Ser(v1,v2),Par(v3,v4)))",5,9,3,single_route,0.538062,0.536825,0.002520,0.004939,0.696800,2.509650,2.494618,0.264418,0.602024,0.063962,0.106245,20000,1358054485
6,"Ser(v0,Par(Ser(v1,v2),Par(v3,v4)))",5,9,3,fixed_priority,0.533389,0.531114,0.001931,0.003785,0.802200,3.742650,3.988656,0.394328,0.602024,0.068635,0.114008,20000,1358054485
6,"Ser(v0,Par(Ser(v1,v2),Par(v3,v4)))",5,9,3,random_frontier,,0.568873,0.002067,0.004051,0.804950,3.248850,3.385241,0.342301,0.602024,0.033151,0.055067,20000,1358054485
7,"Ser(Ser(v0,v1),Par(Ser(v2,Par(v3,Ser(v4,v5))),v6))",7,9,5,index_policy,0.183690,0.186237,0.002167,0.004247,0.272350,2.677100,3.658160,0.282061,0.183690,0.000000,0.000000,20000,1901353491
7,"Ser(Ser(v0,v1),Par(Ser(v2,Par(v3,Ser(v4,v5))),v6))",7,9,5,greedy_probability,0.183690,0.186237,0.002167,0.004247,0.272350,2.677100,3.658160,0.282061,0.183690,0.000000,0.000000,20000,1901353491
7,"Ser(Ser(v0,v1),Par(Ser(v2,Par(v3,Ser(v4,v5))),v6))",7,9,5,greedy_discounted,0.183690,0.186237,0.002167,0.004247,0.272350,2.677100,3.658160,0.282061,0.183690,0.000000,0.000000,20000,1901353491
7,"Ser(Ser(v0,v1),Par(Ser(v2,Par(v3,Ser(v4,v5))),v6))",7,9,5,uncoupled_index,0.183690,0.186237,0.002167,0.004247,0.272350,2.677100,3.658160,0.282061,0.183690,0.000000,0.000000,20000,1901353491
7,"Ser(Ser(v0,v1),Par(Ser(v2,Par(v3,Ser(v4,v5))),v6))",7,9,5,single_route,0.156968,0.159447,0.002099,0.004114,0.224350,2.342050,3.250947,0.246760,0.183690,0.026722,0.145476,20000,1901353491
7,"Ser(Ser(v0,v1),Par(Ser(v2,Par(v3,Ser(v4,v5))),v6))",7,9,5,fixed_priority,0.168158,0.170250,0.001975,0.003871,0.272850,2.912550,4.516218,0.306868,0.183690,0.015533,0.084559,20000,1901353491
7,"Ser(Ser(v0,v1),Par(Ser(v2,Par(v3,Ser(v4,v5))),v6))",7,9,5,random_frontier,,0.175507,0.002047,0.004013,0.272600,2.841050,4.254952,0.299334,0.183690,0.008183,0.044548,20000,1901353491
8,"Ser(v0,Par(v1,v2))",3,4,2,index_policy,0.386937,0.384937,0.002816,0.005519,0.484100,1.750900,2.186428,0.184476,0.386937,0.000000,0.000000,20000,400599612
8,"Ser(v0,Par(v1,v2))",3,4,2,greedy_probability,0.386937,0.384937,0.002816,0.005519,0.484100,1.750900,2.186428,0.184476,0.386937,0.000000,0.000000,20000,400599612
8,"Ser(v0,Par(v1,v2))",3,4,2,greedy_discounted,0.386937,0.384937,0.002816,0.005519,0.484100,1.750900,2.186428,0.184476,0.386937,0.000000,0.000000,20000,400599612
8,"Ser(v0,Par(v1,v2))",3,4,2,uncoupled_index,0.386937,0.384937,0.002816,0.005519,0.484100,1.750900,2.186428,0.184476,0.386937,0.000000,0.000000,20000,400599612
8,"Ser(v0,Par(v1,v2))",3,4,2,single_route,0.354228,0.352561,0.002825,0.005537,0.438050,1.677750,2.063691,0.176769,0.386937,0.032710,0.084535,20000,400599612
8,"Ser(v0,Par(v1,v2))",3,4,2,fixed_priority,0.373435,0.371432,0.002719,0.005330,0.484250,1.914300,2.533712,0.201692,0.386937,0.013502,0.034895,20000,400599612
8,"Ser(v0,Par(v1,v2))",3,4,2,random_frontier,,0.378887,0.002766,0.005422,0.485650,1.849000,2.372902,0.194812,0.386937,0.008050,0.020804,20000,400599612
9,"Par(v0,Ser(v1,v2))",3,6,2,index_policy,0.815887,0.819279,0.001219,0.002390,0.969000,1.743250,1.657585,0.183670,0.815887,-0.000000,-0.000000,20000,1430804514
9,"Par(v0,Ser(v1,v2))",3,6,2,greedy_probability,0.761938,0.763384,0.001044,0.002045,0.967500,2.337650,2.268424,0.246296,0.815887,0.053948,0.066122,20000,1430804514
9,"Par(v0,Ser(v1,v2))",3,6,2,greedy_discounted,0.761938,0.763384,0.001044,0.002045,0.967500,2.337650,2.268424,0.246296,0.815887,0.053948,0.066122,20000,1430804514
9,"Par(v0,Ser(v1,v2))",3,6,2,uncoupled_index,0.761938,0.763384,0.001044,0.002045,0.967500,2.337650,2.268424,0.246296,0.815887,0.053948,0.066122,20000,1430804514
